Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Udinese,Parma,0-1,https://www.besoccer.com/match/udinese/parma-fc/1994687,1994,1,serie_a,18,34,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,78.0,78.0
Juventus,Cremonese,1-0,https://www.besoccer.com/match/juventus-fc/us-cremonese/1994688,1994,1,serie_a,18,34,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,85.0,82.0
Genoa,Roma,2-0,https://www.besoccer.com/match/genoa/roma/1994689,1994,1,serie_a,18,34,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,74.0,81.0
Atalanta,Cagliari,5-2,https://www.besoccer.com/match/atalanta/cagliari/1994690,1994,1,serie_a,18,34,0,5,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,75.0,76.0
Lazio,Calcio Foggia,0-0,https://www.besoccer.com/match/lazio/us-foggia/1994691,1994,1,serie_a,18,34,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,76.0,78.0
Napoli,Sampdoria,1-2,https://www.besoccer.com/match/napoli/sampdoria/1994692,1994,1,serie_a,18,34,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,80.0,82.0
Lecce,Milan,0-1,https://www.besoccer.com/match/lecce/milan/1994693,1994,1,serie_a,18,34,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,79.0,90.0
Inter,Reggiana,2-1,https://www.besoccer.com/match/internazionale/ac-reggiana-1919/1994694,1994,1,serie_a,18,34,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,82.0,61.0
Piacenza,Torino,0-3,https://www.besoccer.com/match/piacenza/torino-fc/1994695,1994,1,serie_a,18,34,2,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,60.0,81.0
Cremonese,Napoli,2-0,https://www.besoccer.com/match/us-cremonese/napoli/1994696,1994,2,serie_a,18,34,0,2,0,16,0,0,0,1,0,1,0.0,0,0,0,0,0,12,0,0,0,1,1,2,0.0,0,0,0,0,0,0.0,0.0,82.0,80.0
Torino,Atalanta,2-1,https://www.besoccer.com/match/torino-fc/atalanta/1994697,1994,2,serie_a,18,34,0,2,1,3,3,1,0,0,3,0,3.0,0,0,0,0,0,4,3,1,0,0,5,2,3.0,0,0,0,0,0,0.0,0.0,81.0,75.0
Parma,Lecce,1-0,https://www.besoccer.com/match/parma-fc/lecce/1994698,1994,2,serie_a,18,34,0,1,0,2,3,1,0,0,1,0,3.0,0,0,0,0,0,11,0,0,0,1,0,1,0.0,0,0,0,0,0,0.0,0.0,78.0,79.0
Calcio Foggia,Inter,1-1,https://www.besoccer.com/match/us-foggia/internazionale/1994699,1994,2,serie_a,18,34,1,1,1,10,1,0,1,0,0,0,1.0,0,0,0,0,0,7,3,1,0,0,2,1,3.0,0,0,0,0,0,0.0,0.0,78.0,82.0
Cagliari,Udinese,1-2,https://www.besoccer.com/match/cagliari/udinese/1994700,1994,2,serie_a,18,34,2,1,2,17,0,0,0,1,2,5,0.0,0,0,0,0,0,15,0,0,0,1,0,1,0.0,0,0,0,0,0,0.0,0.0,76.0,78.0
Roma,Juventus,2-1,https://www.besoccer.com/match/roma/juventus-fc/1994701,1994,2,serie_a,18,34,0,2,1,18,0,0,0,1,0,2,0.0,0,0,0,0,0,1,3,1,0,0,1,0,3.0,0,0,0,0,0,0.0,0.0,81.0,85.0
Reggiana,Lazio,0-0,https://www.besoccer.com/match/ac-reggiana-1919/lazio/1994702,1994,2,serie_a,18,34,1,0,0,14,0,0,0,1,1,2,0.0,0,0,0,0,0,9,1,0,1,0,0,0,1.0,0,0,0,0,0,0.0,0.0,61.0,76.0
Sampdoria,Piacenza,2-1,https://www.besoccer.com/match/sampdoria/piacenza/1994703,1994,2,serie_a,18,34,0,2,1,8,3,1,0,0,2,1,3.0,0,0,0,0,0,13,0,0,0,1,0,3,0.0,0,0,0,0,0,0.0,0.0,82.0,60.0
Milan,Genoa,1-0,https://www.besoccer.com/match/milan/genoa/1994704,1994,2,serie_a,18,34,0,1,0,5,3,1,0,0,1,0,3.0,0,0,0,0,0,6,3,1,0,0,2,0,3.0,0,0,0,0,0,0.0,0.0,90.0,75.0
Genoa,Cagliari,1-1,https://www.besoccer.com/match/genoa/cagliari/1994705,1994,3,serie_a,18,34,1,1,1,10,3,1,0,1,2,1,2.4000000000000004,1,0,0,2,0,18,0,0,0,2,3,7,0.0,0,0,1,2,5,3.0,0.0,75.0,76.0
Atalanta,Reggiana,2-1,https://www.besoccer.com/match/atalanta/ac-reggiana-1919/1994706,1994,3,serie_a,18,34,0,2,1,11,3,1,0,1,6,4,2.4000000000000004,1,0,0,5,2,14,1,0,1,1,1,2,1.0,0,0,1,1,2,3.0,0.0,75.0,62.0
Lazio,Parma,2-1,https://www.besoccer.com/match/lazio/parma-fc/1994707,1994,3,serie_a,18,34,0,2,1,12,2,0,2,0,0,0,1.8,0,1,0,0,0,1,6,2,0,0,2,0,5.4,1,0,0,1,0,1.0,3.0,76.0,79.0
Napoli,Torino,0-0,https://www.besoccer.com/match/napoli/torino-fc/1994708,1994,3,serie_a,18,34,1,0,0,16,0,0,0,2,1,4,0.0,0,0,1,1,2,2,6,2,0,0,5,1,5.4,1,0,0,3,0,0.0,3.0,80.0,81.0
Lecce,Calcio Foggia,0-2,https://www.besoccer.com/match/lecce/us-foggia/1994709,1994,3,serie_a,18,34,2,0,2,15,0,0,0,2,0,2,0.0,0,0,1,0,1,13,2,0,2,0,1,1,1.8,0,1,0,0,0,0.0,1.0,78.0,78.0
Inter,Cremonese,2-1,https://www.besoccer.com/match/internazionale/us-cremonese/1994710,1994,3,serie_a,18,34,0,2,1,5,4,1,1,0,3,2,3.4000000000000004,1,0,0,2,1,7,3,1,0,1,2,1,3.0,0,0,1,0,1,3.0,0.0,82.0,82.0
Piacenza,Milan,0-0,https://www.besoccer.com/match/piacenza/milan/1994711,1994,3,serie_a,18,34,1,0,0,17,0,0,0,2,1,5,0.0,0,0,1,0,3,3,6,2,0,0,2,0,5.4,1,0,0,1,0,0.0,3.0,60.0,90.0
Udinese,Roma,0-0,https://www.besoccer.com/match/udinese/roma/1994712,1994,3,serie_a,18,34,1,0,0,8,3,1,0,1,2,2,3.0,0,0,1,0,1,9,3,1,0,1,2,3,3.0,0,0,1,0,2,0.0,0.0,78.0,81.0
Juventus,Sampdoria,3-1,https://www.besoccer.com/match/juventus-fc/sampdoria/1994713,1994,3,serie_a,18,34,0,3,1,6,3,1,0,1,2,2,2.4000000000000004,1,0,0,1,0,4,6,2,0,0,4,2,5.4,1,0,0,2,1,3.0,3.0,85.0,82.0
Cremonese,Lazio,1-0,https://www.besoccer.com/match/us-cremonese/lazio/1994714,1994,4,serie_a,18,34,0,1,0,13,3,1,0,2,3,3,2.4000000000000004,1,0,0,2,0,9,5,1,2,0,2,1,4.4,0,1,0,0,0,3.0,1.0,82.0,76.0
Torino,Udinese,1-0,https://www.besoccer.com/match/torino-fc/udinese/1994715,1994,4,serie_a,18,34,0,1,0,1,7,2,1,0,5,1,5.2,1,0,0,2,1,12,4,1,1,1,2,2,3.4000000000000004,1,0,0,2,1,3.0,3.0,81.0,78.0
Parma,Genoa,2-1,https://www.besoccer.com/match/parma-fc/genoa/1994716,1994,4,serie_a,18,34,0,2,1,4,6,2,0,1,3,2,4.2,1,0,0,1,0,10,4,1,1,1,3,2,2.8,0,0,1,0,1,3.0,0.0,78.0,75.0
Calcio Foggia,Juventus,1-1,https://www.besoccer.com/match/us-foggia/juventus-fc/1994717,1994,4,serie_a,18,34,1,1,1,8,5,1,2,0,3,1,4.4,0,1,0,1,1,6,6,2,0,1,5,3,4.8,0,0,1,1,2,1.0,0.0,78.0,85.0
Cagliari,Inter,1-0,https://www.besoccer.com/match/cagliari/internazionale/1994718,1994,4,serie_a,18,34,0,1,0,17,1,0,1,2,4,8,1.0,0,0,1,1,2,3,7,2,1,0,5,3,5.6,0,1,0,1,1,0.0,1.0,76.0,82.0
Roma,Napoli,2-3,https://www.besoccer.com/match/roma/napoli/1994719,1994,4,serie_a,18,34,2,2,3,11,4,1,1,1,2,3,3.4000000000000004,1,0,0,2,1,15,1,0,1,2,1,4,1.0,0,0,1,0,2,3.0,0.0,81.0,80.0
Reggiana,Piacenza,1-1,https://www.besoccer.com/match/ac-reggiana-1919/piacenza/1994720,1994,4,serie_a,18,34,1,1,1,14,1,0,1,2,2,4,0.8,0,1,0,0,0,16,1,0,1,2,1,5,1.0,0,0,1,1,2,1.0,0.0,61.0,60.0
Sampdoria,Lecce,2-1,https://www.besoccer.com/match/sampdoria/lecce/1994721,1994,4,serie_a,18,34,0,2,1,5,6,2,0,1,5,5,4.2,1,0,0,2,1,18,0,0,0,3,0,4,0.0,0,0,1,0,1,3.0,0.0,82.0,78.0
Milan,Atalanta,2-0,https://www.besoccer.com/match/milan/atalanta/1994722,1994,4,serie_a,18,34,0,2,0,2,7,2,1,0,2,0,5.2,1,0,0,1,0,7,6,2,0,1,8,5,4.8,0,0,1,1,2,3.0,0.0,90.0,75.0
Genoa,Napoli,0-0,https://www.besoccer.com/match/genoa/napoli/1994723,1994,5,serie_a,18,34,1,0,0,13,4,1,1,2,4,4,2.0,1,1,0,3,1,12,4,1,1,2,4,6,3.8,1,0,1,3,4,3.4000000000000004,3.0,75.0,80.0
Udinese,Sampdoria,0-2,https://www.besoccer.com/match/udinese/sampdoria/1994724,1994,5,serie_a,18,34,2,0,2,14,4,1,1,2,2,3,2.5999999999999996,0,1,1,0,1,4,9,3,0,1,7,6,6.0,1,0,1,3,4,1.0,2.4000000000000004,78.0,82.0
Juventus,Reggiana,4-0,https://www.besoccer.com/match/juventus-fc/ac-reggiana-1919/1994725,1994,5,serie_a,18,34,0,4,0,6,7,2,1,1,6,4,4.6000000000000005,2,0,0,4,1,16,2,0,2,2,3,5,1.6,0,0,2,2,4,5.4,0.0,85.0,61.0
Piacenza,Lecce,2-1,https://www.besoccer.com/match/piacenza/lecce/1994726,1994,5,serie_a,18,34,0,2,1,17,2,0,2,2,2,6,1.8,0,1,1,0,3,18,0,0,0,4,1,6,0.0,0,0,2,1,3,1.0,0.0,60.0,78.0
Lazio,Inter,0-0,https://www.besoccer.com/match/lazio/internazionale/1994727,1994,5,serie_a,18,34,1,0,0,10,5,1,2,1,2,2,3.4000000000000004,1,1,0,2,1,5,7,2,1,1,5,4,4.200000000000001,0,1,1,1,2,3.8,0.8,76.0,82.0
Milan,Roma,2-0,https://www.besoccer.com/match/milan/roma/1994728,1994,5,serie_a,18,34,0,2,0,2,10,3,1,0,4,0,6.8,2,0,0,3,0,15,4,1,1,2,4,6,2.5999999999999996,0,1,1,0,2,5.4,1.0,91.0,81.0
Calcio Foggia,Cagliari,0-1,https://www.besoccer.com/match/us-foggia/cagliari/1994729,1994,5,serie_a,18,34,2,0,1,9,6,1,3,0,4,2,4.4,0,2,0,2,2,11,4,1,1,2,5,8,3.8,0,1,1,3,6,1.8,1.0,78.0,76.0
Atalanta,Cremonese,0-0,https://www.besoccer.com/match/atalanta/us-cremonese/1994730,1994,5,serie_a,18,34,1,0,0,8,6,2,0,2,8,7,3.6000000000000005,2,0,0,7,3,7,6,2,0,2,4,3,4.8,0,0,2,1,3,5.4,0.0,75.0,82.0
Parma,Torino,3-0,https://www.besoccer.com/match/parma-fc/torino-fc/1994731,1994,5,serie_a,18,34,0,3,0,3,9,3,0,1,5,3,6.0,2,0,0,3,1,1,10,3,1,0,6,1,6.8,1,1,0,3,0,5.4,3.4000000000000004,79.0,82.0
Reggiana,Calcio Foggia,0-0,https://www.besoccer.com/match/ac-reggiana-1919/us-foggia/1994732,1994,6,serie_a,18,34,1,0,0,17,2,0,2,3,3,9,1.2000000000000002,0,2,0,1,1,11,6,1,3,1,4,3,3.2,1,1,0,2,0,1.8,3.8,61.0,78.0
Cagliari,Lazio,4-1,https://www.besoccer.com/match/cagliari/lazio/1994733,1994,6,serie_a,18,34,0,4,1,9,7,2,1,2,6,8,6.0,1,0,1,2,2,10,6,1,3,1,2,2,3.4,0,1,1,0,1,3.0,0.8,76.0,76.0
