Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Watford,Millwall,3-1,https://www.besoccer.com/match/watford-fc/millwall-fc/199317611,1993,1,championship,24,10,0,3,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,58.0,58.0
Tranmere Rovers,Cambridge United,2-0,https://www.besoccer.com/match/tranmere-rovers/cambridge-united/199317612,1993,1,championship,24,10,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,56.0,54.0
Swindon Town,Sunderland,1-0,https://www.besoccer.com/match/swindon-town/sunderland-afc/199317613,1993,1,championship,24,10,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,57.0,60.0
Peterborough United,Derby County,1-0,https://www.besoccer.com/match/peterborough-u/derby-county-fc/199317614,1993,1,championship,24,10,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,63.0
Oxford United,Bristol Rovers,2-1,https://www.besoccer.com/match/oxford-united/bristol-rovers/199317615,1993,1,championship,24,10,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,50.0
Newcastle,Southend United,3-2,https://www.besoccer.com/match/newcastle-united-fc/southend-united/199317616,1993,1,championship,24,10,0,3,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,58.0,55.0
Leicester,Luton Town,2-1,https://www.besoccer.com/match/leicester-city-fc/luton-town-fc/199317617,1993,1,championship,24,10,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,66.0
Charlton Athletic,Grimsby Town,3-1,https://www.besoccer.com/match/charlton-athletic-fc/grimsby-town/199317618,1993,1,championship,24,10,0,3,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,59.0,51.0
Bristol City,Portsmouth,3-3,https://www.besoccer.com/match/bristol-city-fc/portsmouth/199317619,1993,1,championship,24,10,1,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,58.0,57.0
Brentford,Wolves,0-2,https://www.besoccer.com/match/brentford/wolverhampton/199317620,1993,1,championship,24,10,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,55.0
Birmingham City,Notts County,1-0,https://www.besoccer.com/match/birmingham-city-fc/notts-county/199317621,1993,1,championship,24,10,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,52.0,60.0
Barnsley,West Ham,0-1,https://www.besoccer.com/match/barnsley-fc/west-ham-united/199317622,1993,1,championship,24,10,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,53.0,64.0
Wolves,Leicester,3-0,https://www.besoccer.com/match/wolverhampton/leicester-city-fc/199317623,1993,1,championship,24,10,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,55.0
Cambridge United,Charlton Athletic,0-1,https://www.besoccer.com/match/cambridge-united/charlton-athletic-fc/199317624,1993,1,championship,24,10,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,54.0,59.0
