Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
RM Castilla,Barcelona B,1-0,https://www.besoccer.com/match/rm-castilla/barcelona-b/1992761,1992,1,segunda_division,20,38,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,56.0
Real Betis,Sabadell,2-0,https://www.besoccer.com/match/betis/sabadell/1992762,1992,1,segunda_division,20,38,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,65.0,61.0
Real Avilés,Palamós,1-0,https://www.besoccer.com/match/real-aviles-ind/palamos-cf/1992763,1992,1,segunda_division,20,38,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,50.0,46.0
Rayo Vallecano,Las Palmas,3-0,https://www.besoccer.com/match/rayo-vallecano/ud-palmas/1992764,1992,1,segunda_division,20,38,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,58.0,63.0
Eibar,Sestao Sport Club,1-0,https://www.besoccer.com/match/eibar/sestao-sport-club/1992765,1992,1,segunda_division,20,38,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,53.0,57.0
UE Figueres,Mérida CP,2-0,https://www.besoccer.com/match/figueres/merida-cp/1992766,1992,1,segunda_division,20,38,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,46.0
Real Murcia,CD Málaga,2-1,https://www.besoccer.com/match/real-murcia/cd-malaga/1992767,1992,1,segunda_division,20,38,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,63.0,65.0
Celta,Lleida,3-0,https://www.besoccer.com/match/celta/ue-lleida/1992768,1992,1,segunda_division,20,38,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,65.0,56.0
Racing,Bilbao Ath.,3-0,https://www.besoccer.com/match/racing/athletic-bilbao-b/1992769,1992,1,segunda_division,20,38,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,54.0,56.0
Compostela,CD Castellón,0-2,https://www.besoccer.com/match/sd-Compostela/cd-castellon/1992770,1992,1,segunda_division,20,38,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,43.0,63.0
Barcelona B,Rayo Vallecano,0-3,https://www.besoccer.com/match/barcelona-b/rayo-vallecano/1992771,1992,2,segunda_division,20,38,2,0,3,15,0,0,0,1,0,1,0.0,0,0,0,0,0,1,3,1,0,0,3,0,3.0,0,0,0,0,0,0.0,0.0,56.0,59.0
Palamós,RM Castilla,2-2,https://www.besoccer.com/match/palamos-cf/rm-castilla/1992772,1992,2,segunda_division,20,38,1,2,2,20,0,0,0,1,0,1,0.0,0,0,0,0,0,3,3,1,0,0,1,0,3.0,0,0,0,0,0,0.0,0.0,46.0,55.0
CD Málaga,UE Figueres,0-5,https://www.besoccer.com/match/cd-malaga/figueres/1992773,1992,2,segunda_division,20,38,2,0,5,18,0,0,0,1,1,2,0.0,0,0,0,0,0,8,3,1,0,0,2,0,3.0,0,0,0,0,0,0.0,0.0,65.0,55.0
Mérida CP,Eibar,1-0,https://www.besoccer.com/match/merida-cp/eibar/1992774,1992,2,segunda_division,20,38,0,1,0,19,0,0,0,1,0,2,0.0,0,0,0,0,0,5,3,1,0,0,1,0,3.0,0,0,0,0,0,0.0,0.0,45.0,53.0
Sabadell,Real Avilés,0-0,https://www.besoccer.com/match/sabadell/real-aviles-ind/1992775,1992,2,segunda_division,20,38,1,0,0,17,0,0,0,1,0,2,0.0,0,0,0,0,0,7,3,1,0,0,1,0,3.0,0,0,0,0,0,0.0,0.0,61.0,51.0
Sestao Sport Club,Racing,1-2,https://www.besoccer.com/match/sestao-sport-club/racing/1992776,1992,2,segunda_division,20,38,2,1,2,16,0,0,0,1,0,1,0.0,0,0,0,0,0,6,3,1,0,0,3,0,3.0,0,0,0,0,0,0.0,0.0,57.0,55.0
Lleida,Real Murcia,2-0,https://www.besoccer.com/match/ue-lleida/real-murcia/1992777,1992,2,segunda_division,20,38,0,2,0,11,0,0,0,1,0,3,0.0,0,0,0,0,0,4,3,1,0,0,2,1,3.0,0,0,0,0,0,0.0,0.0,56.0,63.0
CD Castellón,Celta,0-2,https://www.besoccer.com/match/cd-castellon/celta/1992778,1992,2,segunda_division,20,38,2,0,2,2,3,1,0,0,2,0,3.0,0,0,0,0,0,9,3,1,0,0,3,0,3.0,0,0,0,0,0,0.0,0.0,63.0,65.0
Bilbao Ath.,Real Betis,3-3,https://www.besoccer.com/match/athletic-bilbao-b/betis/1992779,1992,2,segunda_division,20,38,1,3,3,12,0,0,0,1,0,3,0.0,0,0,0,0,0,10,3,1,0,0,2,0,3.0,0,0,0,0,0,0.0,0.0,55.0,65.0
Las Palmas,Compostela,0-0,https://www.besoccer.com/match/ud-palmas/sd-Compostela/1992780,1992,2,segunda_division,20,38,1,0,0,14,0,0,0,1,0,3,0.0,0,0,0,0,0,13,0,0,0,1,0,2,0.0,0,0,0,0,0,0.0,0.0,63.0,44.0
Rayo Vallecano,Palamós,4-0,https://www.besoccer.com/match/rayo-vallecano/palamos-cf/1992781,1992,3,segunda_division,20,38,0,4,0,1,6,2,0,0,6,0,5.4,1,0,0,3,0,17,1,0,1,1,2,3,1.0,0,0,1,0,1,3.0,0.0,59.0,46.0
Celta,Las Palmas,3-0,https://www.besoccer.com/match/celta/ud-palmas/1992782,1992,3,segunda_division,20,38,0,3,0,4,6,2,0,0,5,0,5.4,1,0,0,3,0,15,1,0,1,1,0,3,1.0,0,0,1,0,3,3.0,0.0,66.0,62.0
Compostela,Barcelona B,1-1,https://www.besoccer.com/match/sd-Compostela/barcelona-b/1992783,1992,3,segunda_division,20,38,1,1,1,14,1,0,1,1,0,2,1.0,0,0,1,0,2,18,0,0,0,2,0,4,0.0,0,0,1,0,1,0.0,0.0,44.0,55.0
Real Avilés,Bilbao Ath.,1-1,https://www.besoccer.com/match/real-aviles-ind/athletic-bilbao-b/1992784,1992,3,segunda_division,20,38,1,1,1,7,4,1,1,0,1,0,3.4000000000000004,1,0,0,1,0,13,1,0,1,1,3,6,1.0,0,0,1,0,3,3.0,0.0,51.0,55.0
Real Murcia,CD Castellón,3-0,https://www.besoccer.com/match/real-murcia/cd-castellon/1992785,1992,3,segunda_division,20,38,0,3,0,12,3,1,0,1,2,3,2.4000000000000004,1,0,0,2,1,9,3,1,0,1,2,2,2.4000000000000004,1,0,0,2,0,3.0,3.0,63.0,63.0
Racing,Real Betis,0-1,https://www.besoccer.com/match/racing/betis/1992786,1992,3,segunda_division,20,38,2,0,1,2,6,2,0,0,5,1,5.4,1,0,0,3,0,5,4,1,1,0,5,3,3.4000000000000004,0,1,0,3,3,3.0,1.0,55.0,65.0
RM Castilla,Sabadell,2-1,https://www.besoccer.com/match/rm-castilla/sabadell/1992787,1992,3,segunda_division,20,38,0,2,1,6,4,1,1,0,3,2,3.4000000000000004,1,0,0,1,0,16,1,0,1,1,0,2,1.0,0,0,1,0,2,3.0,0.0,55.0,61.0
Sestao Sport Club,Mérida CP,2-1,https://www.besoccer.com/match/sestao-sport-club/merida-cp/1992788,1992,3,segunda_division,20,38,0,2,1,19,0,0,0,2,1,3,0.0,0,0,1,1,2,8,3,1,0,1,1,2,3.0,0,0,1,0,2,0.0,0.0,57.0,46.0
UE Figueres,Lleida,1-3,https://www.besoccer.com/match/figueres/ue-lleida/1992789,1992,3,segunda_division,20,38,2,1,3,3,6,2,0,0,7,0,5.4,1,0,0,2,0,10,3,1,0,1,2,3,3.0,0,0,1,0,3,3.0,0.0,56.0,56.0
Eibar,CD Málaga,1-0,https://www.besoccer.com/match/eibar/cd-malaga/1992790,1992,3,segunda_division,20,38,0,1,0,11,3,1,0,1,1,1,2.4000000000000004,1,0,0,1,0,20,0,0,0,2,1,7,0.0,0,0,1,1,2,3.0,0.0,53.0,64.0
Barcelona B,Celta,4-1,https://www.besoccer.com/match/barcelona-b/celta/1992800,1992,4,segunda_division,20,38,0,4,1,19,1,0,1,2,1,5,1.0,0,0,1,0,3,2,9,3,0,0,8,0,7.2,1,0,0,2,0,0.0,3.0,55.0,66.0
CD Málaga,Sestao Sport Club,0-0,https://www.besoccer.com/match/cd-malaga/sestao-sport-club/1992791,1992,4,segunda_division,20,38,1,0,0,20,0,0,0,3,1,8,0.0,0,0,1,0,5,13,3,1,0,2,3,4,3.0,0,0,1,0,1,0.0,0.0,64.0,57.0
