Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Vitória Setúbal,Boavista,1-1,https://www.besoccer.com/match/vitoria-setubal/boavista/200369359,2003,1,primeira_liga,18,34,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Académica,Sporting CP,0-2,https://www.besoccer.com/match/academica/sporting-lisbon/200369360,2003,1,primeira_liga,18,34,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
União de Leiria,Vitória Guimarães,1-2,https://www.besoccer.com/match/uniao-leiria/vitoria-guimaraes/200369361,2003,1,primeira_liga,18,34,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
CD Santa Clara,Sporting Braga,0-0,https://www.besoccer.com/match/santa-clara/sporting-braga/200369362,2003,1,primeira_liga,18,34,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Benfica,Marítimo,3-0,https://www.besoccer.com/match/benfica/maritimo/200369363,2003,1,primeira_liga,18,34,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Nacional,Gil Vicente,0-1,https://www.besoccer.com/match/nacional/gil-vicente/200369364,2003,1,primeira_liga,18,34,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Moreirense,Beira Mar SC,1-2,https://www.besoccer.com/match/moreirense-fc/beira-mar/200369365,2003,1,primeira_liga,18,34,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Paços de Ferreira,Varzim,3-1,https://www.besoccer.com/match/pacos-ferreira/varzim/200369366,2003,1,primeira_liga,18,34,0,3,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Porto,Belenenses,2-2,https://www.besoccer.com/match/fc-porto/belenenses/200369367,2003,1,primeira_liga,18,34,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Sporting Braga,Paços de Ferreira,1-0,https://www.besoccer.com/match/sporting-braga/pacos-ferreira/200369368,2003,2,primeira_liga,18,34,0,1,0,12,1,0,1,0,0,0,1.0,0,0,0,0,0,5,3,1,0,0,3,1,3.0,0,0,0,0,0,0.0,0.0,,
Belenenses,Académica,2-0,https://www.besoccer.com/match/belenenses/academica/200369369,2003,2,primeira_liga,18,34,0,2,0,11,1,0,1,0,2,2,1.0,0,0,0,0,0,14,0,0,0,1,0,2,0.0,0,0,0,0,0,0.0,0.0,,
Vitória Guimarães,Nacional,3-2,https://www.besoccer.com/match/vitoria-guimaraes/nacional/200369370,2003,2,primeira_liga,18,34,0,3,2,3,3,1,0,0,2,1,3.0,0,0,0,0,0,18,0,0,0,1,0,1,0.0,0,0,0,0,0,0.0,0.0,,
Beira Mar SC,Benfica,0-2,https://www.besoccer.com/match/beira-mar/benfica/200369371,2003,2,primeira_liga,18,34,2,0,2,4,3,1,0,0,2,1,3.0,0,0,0,0,0,6,3,1,0,0,3,0,3.0,0,0,0,0,0,0.0,0.0,,
Varzim,Moreirense,1-0,https://www.besoccer.com/match/varzim/moreirense-fc/200369372,2003,2,primeira_liga,18,34,0,1,0,16,0,0,0,1,1,3,0.0,0,0,0,0,0,13,0,0,0,1,1,2,0.0,0,0,0,0,0,0.0,0.0,,
