Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
AZ Alkmaar,Sparta Rotterdam,3-0,https://www.besoccer.com/match/az/sparta-rotterdam/20061827,2006,1,eredivisie,18,34,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,77.0,64.0
Willem II,RKC Waalwijk,1-2,https://www.besoccer.com/match/willem-ii/rkc-waalwijk/20061828,2006,1,eredivisie,18,34,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,72.0,71.0
Heracles,PSV,1-1,https://www.besoccer.com/match/heracles/psv/20061829,2006,1,eredivisie,18,34,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,61.0,90.0
Roda JC,Twente 1965,2-0,https://www.besoccer.com/match/roda-jc/fc-twente-1965/20061830,2006,1,eredivisie,18,34,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,75.0,75.0
Vitesse,Heerenveen,2-2,https://www.besoccer.com/match/vitesse/heerenveen/20061831,2006,1,eredivisie,18,34,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,75.0,78.0
NEC Nijmegen,Utrecht,0-0,https://www.besoccer.com/match/nec/fc-utrecht/20061832,2006,1,eredivisie,18,34,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,68.0,74.0
Groningen,RBC Roosendaal,1-0,https://www.besoccer.com/match/fc-groningen/rbc/20061833,2006,1,eredivisie,18,34,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,67.0,61.0
Feyenoord,NAC Breda,2-0,https://www.besoccer.com/match/feyenoord/nac-breda/20061834,2006,1,eredivisie,18,34,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,84.0,72.0
Ajax,ADO Den Haag,2-2,https://www.besoccer.com/match/ajax/ado-den-haag/20061835,2006,1,eredivisie,18,34,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,86.0,65.0
NAC Breda,Willem II,1-0,https://www.besoccer.com/match/nac-breda/willem-ii/20061836,2006,2,eredivisie,18,34,0,1,0,17,0,0,0,1,0,2,0.0,0,0,0,0,0,14,0,0,0,1,1,2,0.0,0,0,0,0,0,0.0,0.0,71.0,72.0
RBC Roosendaal,Ajax,0-2,https://www.besoccer.com/match/rbc/ajax/20061837,2006,2,eredivisie,18,34,2,0,2,18,0,0,0,1,0,1,0.0,0,0,0,0,0,11,1,0,1,0,2,2,1.0,0,0,0,0,0,0.0,0.0,61.0,87.0
Heerenveen,Roda JC,5-4,https://www.besoccer.com/match/heerenveen/roda-jc/20061838,2006,2,eredivisie,18,34,0,5,4,7,1,0,1,0,2,2,1.0,0,0,0,0,0,2,3,1,0,0,2,0,3.0,0,0,0,0,0,0.0,0.0,78.0,75.0
ADO Den Haag,Heracles,1-2,https://www.besoccer.com/match/ado-den-haag/heracles/20061839,2006,2,eredivisie,18,34,2,1,2,13,1,0,1,0,2,2,1.0,0,0,0,0,0,10,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,65.0,61.0
Twente 1965,NEC Nijmegen,0-1,https://www.besoccer.com/match/fc-twente-1965/nec/20061840,2006,2,eredivisie,18,34,2,0,1,16,0,0,0,1,0,2,0.0,0,0,0,0,0,9,1,0,1,0,0,0,1.0,0,0,0,0,0,0.0,0.0,75.0,68.0
Sparta Rotterdam,Feyenoord,1-3,https://www.besoccer.com/match/sparta-rotterdam/feyenoord/20061841,2006,2,eredivisie,18,34,2,1,3,15,0,0,0,1,0,3,0.0,0,0,0,0,0,3,3,1,0,0,2,0,3.0,0,0,0,0,0,0.0,0.0,64.0,84.0
Utrecht,AZ Alkmaar,1-2,https://www.besoccer.com/match/fc-utrecht/az/20061842,2006,2,eredivisie,18,34,2,1,2,8,1,0,1,0,0,0,1.0,0,0,0,0,0,5,3,1,0,0,3,0,3.0,0,0,0,0,0,0.0,0.0,74.0,77.0
PSV,Vitesse,2-1,https://www.besoccer.com/match/psv/vitesse/20061843,2006,2,eredivisie,18,34,0,2,1,12,1,0,1,0,1,1,1.0,0,0,0,0,0,6,1,0,1,0,2,2,1.0,0,0,0,0,0,0.0,0.0,90.0,75.0
RKC Waalwijk,Groningen,2-1,https://www.besoccer.com/match/rkc-waalwijk/fc-groningen/20061844,2006,2,eredivisie,18,34,0,2,1,4,3,1,0,0,2,1,3.0,0,0,0,0,0,1,3,1,0,0,1,0,3.0,0,0,0,0,0,0.0,0.0,71.0,68.0
ADO Den Haag,Heerenveen,1-0,https://www.besoccer.com/match/ado-den-haag/heerenveen/20061845,2006,3,eredivisie,18,34,0,1,0,13,1,0,1,1,3,4,0.8,0,0,1,1,2,6,4,1,1,0,7,6,3.8,0,1,0,2,2,0.0,1.0,65.0,78.0
NEC Nijmegen,RKC Waalwijk,1-3,https://www.besoccer.com/match/nec/rkc-waalwijk/20061846,2006,3,eredivisie,18,34,2,1,3,8,4,1,1,0,1,0,3.8,0,1,0,0,0,2,6,2,0,0,4,2,5.4,1,0,0,2,1,1.0,3.0,68.0,71.0
Sparta Rotterdam,NAC Breda,1-0,https://www.besoccer.com/match/sparta-rotterdam/nac-breda/20061847,2006,3,eredivisie,18,34,0,1,0,16,0,0,0,2,1,6,0.0,0,0,1,1,3,9,3,1,0,1,1,2,3.0,0,0,1,0,2,0.0,0.0,64.0,72.0
Vitesse,AZ Alkmaar,0-5,https://www.besoccer.com/match/vitesse/az/20061848,2006,3,eredivisie,18,34,2,0,5,14,1,0,1,1,3,4,0.8,0,1,0,2,2,3,6,2,0,0,5,1,5.4,1,0,0,2,1,1.0,3.0,74.0,77.0
Ajax,Feyenoord,1-2,https://www.besoccer.com/match/ajax/feyenoord/20061849,2006,3,eredivisie,18,34,2,1,2,5,4,1,1,0,4,2,3.8,0,1,0,2,2,1,6,2,0,0,5,1,5.4,1,0,0,3,1,1.0,3.0,87.0,84.0
Utrecht,Twente 1965,1-3,https://www.besoccer.com/match/fc-utrecht/fc-twente-1965/20061850,2006,3,eredivisie,18,34,2,1,3,12,1,0,1,1,1,2,0.8,0,0,1,1,2,17,0,0,0,2,0,3,0.0,0,0,1,0,2,0.0,0.0,74.0,75.0
Heracles,Groningen,2-1,https://www.besoccer.com/match/heracles/fc-groningen/20061851,2006,3,eredivisie,18,34,0,2,1,4,4,1,1,0,3,2,3.8,0,1,0,1,1,10,3,1,0,1,2,2,2.4000000000000004,0,0,1,1,2,1.0,0.0,62.0,67.0
RBC Roosendaal,Willem II,1-1,https://www.besoccer.com/match/rbc/willem-ii/20061852,2006,3,eredivisie,18,34,1,1,1,18,0,0,0,2,0,3,0.0,0,0,1,0,2,15,0,0,0,2,1,3,0.0,0,0,1,0,1,0.0,0.0,61.0,72.0
Roda JC,PSV,0-3,https://www.besoccer.com/match/roda-jc/psv/20061853,2006,3,eredivisie,18,34,2,0,3,11,3,1,0,1,6,5,2.4000000000000004,1,0,0,2,0,7,4,1,1,0,3,2,3.8,0,1,0,1,1,3.0,1.0,75.0,90.0
RKC Waalwijk,Roda JC,2-0,https://www.besoccer.com/match/rkc-waalwijk/roda-jc/20061854,2006,4,eredivisie,18,34,0,2,0,3,9,3,0,0,7,3,7.2,1,0,0,2,1,13,3,1,0,2,6,8,1.7999999999999998,0,0,1,4,5,3.0,0.0,71.0,75.0
PSV,Utrecht,1-0,https://www.besoccer.com/match/psv/fc-utrecht/20061856,2006,4,eredivisie,18,34,0,1,0,5,7,2,1,0,6,2,6.0,1,0,0,2,1,15,1,0,1,2,2,5,0.6,0,1,0,0,0,3.0,1.0,90.0,73.0
Heerenveen,Heracles,1-2,https://www.besoccer.com/match/heerenveen/heracles/20061857,2006,4,eredivisie,18,34,2,1,2,8,4,1,1,1,7,7,3.0000000000000004,1,0,0,5,4,4,7,2,1,0,5,3,6.0,1,0,0,2,1,3.0,3.0,78.0,62.0
Willem II,Ajax,0-2,https://www.besoccer.com/match/willem-ii/ajax/20061858,2006,4,eredivisie,18,34,2,0,2,17,1,0,1,2,2,4,1.0,0,0,1,1,2,7,4,1,1,1,5,4,3.0000000000000004,1,0,0,2,0,0.0,3.0,72.0,87.0
AZ Alkmaar,RBC Roosendaal,7-0,https://www.besoccer.com/match/az/rbc/20061855,2006,4,eredivisie,18,34,0,7,0,2,9,3,0,0,10,1,7.2,1,0,0,3,0,18,1,0,1,2,1,4,1.0,0,0,1,0,1,3.0,0.0,78.0,61.0
