Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Roda JC,Feyenoord,1-1,https://www.besoccer.com/match/roda-jc/feyenoord/199713998,1997,1,eredivisie,18,34,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,77.0,82.0
Sparta Rotterdam,Fortuna Sittard,0-0,https://www.besoccer.com/match/sparta-rotterdam/fortuna-sittard/199713999,1997,1,eredivisie,18,34,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,71.0,66.0
Ajax,NAC Breda,1-0,https://www.besoccer.com/match/ajax/nac-breda/199714000,1997,1,eredivisie,18,34,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,90.0,73.0
Utrecht,RKC Waalwijk,2-2,https://www.besoccer.com/match/fc-utrecht/rkc-waalwijk/199714001,1997,1,eredivisie,18,34,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,67.0,71.0
Heerenveen,Twente 1965,1-3,https://www.besoccer.com/match/heerenveen/fc-twente-1965/199714002,1997,1,eredivisie,18,34,2,1,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,70.0,75.0
Groningen,Willem II,0-0,https://www.besoccer.com/match/fc-groningen/willem-ii/199714003,1997,1,eredivisie,18,34,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,71.0,70.0
FC Volendam,De Graafschap,1-1,https://www.besoccer.com/match/fc-volendam/graafschap/199714004,1997,1,eredivisie,18,34,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,67.0,67.0
AZ Alkmaar,Vitesse,0-2,https://www.besoccer.com/match/az/vitesse/199714005,1997,1,eredivisie,18,34,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,72.0,76.0
NEC Nijmegen,PSV,1-4,https://www.besoccer.com/match/nec/psv/199714006,1997,1,eredivisie,18,34,2,1,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,63.0,86.0
NAC Breda,Sparta Rotterdam,1-0,https://www.besoccer.com/match/nac-breda/sparta-rotterdam/199714007,1997,2,eredivisie,18,34,0,1,0,16,0,0,0,1,0,1,0.0,0,0,0,0,0,9,1,0,1,0,0,0,1.0,0,0,0,0,0,0.0,0.0,73.0,71.0
Heerenveen,Ajax,2-0,https://www.besoccer.com/match/heerenveen/ajax/199714008,1997,2,eredivisie,18,34,0,2,0,17,0,0,0,1,1,3,0.0,0,0,1,1,3,3,3,1,0,0,1,0,3.0,0,0,0,0,0,0.0,0.0,70.0,90.0
Willem II,Fortuna Sittard,0-1,https://www.besoccer.com/match/willem-ii/fortuna-sittard/199714009,1997,2,eredivisie,18,34,2,0,1,5,1,0,1,0,0,0,1.0,0,0,0,0,0,13,1,0,1,0,0,0,1.0,0,1,0,0,0,0.0,1.0,70.0,66.0
De Graafschap,RKC Waalwijk,3-2,https://www.besoccer.com/match/graafschap/rkc-waalwijk/199714010,1997,2,eredivisie,18,34,0,3,2,14,1,0,1,0,1,1,1.0,0,0,0,0,0,8,1,0,1,0,2,2,1.0,0,1,0,2,2,0.0,1.0,67.0,70.0
PSV,Groningen,4-1,https://www.besoccer.com/match/psv/fc-groningen/199714011,1997,2,eredivisie,18,34,0,4,1,4,3,1,0,0,4,1,3.0,0,0,0,0,0,10,1,0,1,0,0,0,1.0,0,0,0,0,0,0.0,0.0,86.0,71.0
Twente 1965,Roda JC,1-1,https://www.besoccer.com/match/fc-twente-1965/roda-jc/199714012,1997,2,eredivisie,18,34,1,1,1,1,3,1,0,0,3,1,3.0,0,0,0,0,0,6,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,75.0,77.0
Vitesse,Utrecht,1-0,https://www.besoccer.com/match/vitesse/fc-utrecht/199714013,1997,2,eredivisie,18,34,0,1,0,2,3,1,0,0,2,0,3.0,0,0,0,0,0,7,1,0,1,0,2,2,1.0,0,0,0,0,0,0.0,0.0,77.0,67.0
Feyenoord,FC Volendam,3-0,https://www.besoccer.com/match/feyenoord/fc-volendam/199714014,1997,2,eredivisie,18,34,0,3,0,11,1,0,1,0,1,1,1.0,0,0,0,0,0,12,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,82.0,67.0
NEC Nijmegen,AZ Alkmaar,0-0,https://www.besoccer.com/match/nec/az/199714015,1997,2,eredivisie,18,34,1,0,0,15,0,0,0,1,1,4,0.0,0,0,1,1,4,18,0,0,0,1,0,2,0.0,0,0,0,0,0,0.0,0.0,63.0,72.0
Fortuna Sittard,Heerenveen,2-4,https://www.besoccer.com/match/fortuna-sittard/heerenveen/199714016,1997,3,eredivisie,18,34,2,2,4,4,4,1,1,0,1,0,3.8,0,0,0,0,0,8,3,1,0,1,3,3,3.0,0,0,0,0,0,0.0,0.0,66.0,70.0
