Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
PEC Zwolle,Willem II,1-3,https://www.besoccer.com/match/fc-zwolle/willem-ii/202011760,2020,1,eredivisie,18,26,2,1,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,74.0,67.0
Vitesse,Ajax,2-2,https://www.besoccer.com/match/vitesse/ajax/202011761,2020,1,eredivisie,18,26,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,78.0,90.0
Emmen,Groningen,0-1,https://www.besoccer.com/match/emmen/fc-groningen/202011762,2020,1,eredivisie,18,26,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,60.0,73.0
VVV Venlo,RKC Waalwijk,3-1,https://www.besoccer.com/match/vvv/rkc-waalwijk/202011763,2020,1,eredivisie,18,26,0,3,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,68.0,60.0
Twente 1965,PSV,1-1,https://www.besoccer.com/match/fc-twente-1965/psv/202011764,2020,1,eredivisie,18,26,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,72.0,90.0
Heracles,Heerenveen,0-4,https://www.besoccer.com/match/heracles/heerenveen/202011765,2020,1,eredivisie,18,26,2,0,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,68.0,74.0
Feyenoord,Sparta Rotterdam,2-2,https://www.besoccer.com/match/feyenoord/sparta-rotterdam/202011767,2020,1,eredivisie,18,26,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,85.0,64.0
ADO Den Haag,Utrecht,2-4,https://www.besoccer.com/match/ado-den-haag/fc-utrecht/202011766,2020,1,eredivisie,18,26,2,2,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,68.0,78.0
AZ Alkmaar,Fortuna Sittard,4-0,https://www.besoccer.com/match/az/fortuna-sittard/202011768,2020,1,eredivisie,18,26,0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,81.0,60.0
Sparta Rotterdam,VVV Venlo,4-1,https://www.besoccer.com/match/sparta-rotterdam/vvv/202011769,2020,2,eredivisie,18,26,0,4,1,11,1,0,1,0,2,2,1.0,0,0,0,0,0,6,3,1,0,0,3,1,3.0,0,0,0,0,0,0.0,0.0,64.0,68.0
Groningen,Twente 1965,1-3,https://www.besoccer.com/match/fc-groningen/fc-twente-1965/202011770,2020,2,eredivisie,18,26,2,1,3,5,3,1,0,0,1,0,3.0,0,0,0,0,0,12,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,74.0,71.0
Ajax,Emmen,5-0,https://www.besoccer.com/match/ajax/emmen/202011771,2020,2,eredivisie,18,26,0,5,0,9,1,0,1,0,2,2,1.0,0,0,0,0,0,14,0,0,0,1,0,1,0.0,0,0,0,0,0,0.0,0.0,90.0,60.0
Willem II,Vitesse,0-2,https://www.besoccer.com/match/willem-ii/vitesse/202011773,2020,2,eredivisie,18,26,2,0,2,2,3,1,0,0,3,1,3.0,0,0,0,0,0,10,1,0,1,0,2,2,1.0,0,0,0,0,0,0.0,0.0,67.0,77.0
