Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Heerenveen,Roda JC,0-0,https://www.besoccer.com/match/heerenveen/roda-jc/20103049,2010,1,eredivisie,18,34,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,79.0,72.0
Willem II,Vitesse,3-1,https://www.besoccer.com/match/willem-ii/vitesse/20103050,2010,1,eredivisie,18,34,0,3,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,67.0,71.0
Heracles,AZ Alkmaar,3-2,https://www.besoccer.com/match/heracles/az/20103051,2010,1,eredivisie,18,34,0,3,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,64.0,83.0
Sparta Rotterdam,Twente 1965,0-2,https://www.besoccer.com/match/sparta-rotterdam/fc-twente-1965/20103052,2010,1,eredivisie,18,34,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,65.0,81.0
RKC Waalwijk,Utrecht,0-1,https://www.besoccer.com/match/rkc-waalwijk/fc-utrecht/20103053,2010,1,eredivisie,18,34,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,69.0,73.0
ADO Den Haag,NAC Breda,1-2,https://www.besoccer.com/match/ado-den-haag/nac-breda/20103054,2010,1,eredivisie,18,34,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,62.0,74.0
Feyenoord,NEC Nijmegen,2-0,https://www.besoccer.com/match/feyenoord/nec/20103055,2010,1,eredivisie,18,34,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,78.0,72.0
Groningen,Ajax,0-2,https://www.besoccer.com/match/fc-groningen/ajax/20103056,2010,1,eredivisie,18,34,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,74.0,86.0
PSV,VVV Venlo,3-3,https://www.besoccer.com/match/psv/vvv/20103057,2010,1,eredivisie,18,34,1,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,86.0,62.0
NEC Nijmegen,Heerenveen,4-1,https://www.besoccer.com/match/nec/heerenveen/20103058,2010,2,eredivisie,18,34,0,4,1,15,0,0,0,1,0,2,0.0,0,0,0,0,0,11,1,0,1,0,0,0,1.0,0,0,0,0,0,0.0,0.0,72.0,79.0
AZ Alkmaar,Sparta Rotterdam,2-0,https://www.besoccer.com/match/az/sparta-rotterdam/20103061,2010,2,eredivisie,18,34,0,2,0,13,0,0,0,1,2,3,0.0,0,0,0,0,0,16,0,0,0,1,0,2,0.0,0,0,0,0,0,0.0,0.0,83.0,65.0
Ajax,RKC Waalwijk,4-1,https://www.besoccer.com/match/ajax/rkc-waalwijk/20103059,2010,2,eredivisie,18,34,0,4,1,5,3,1,0,0,2,0,3.0,0,0,0,0,0,17,0,0,0,1,0,1,0.0,0,0,0,0,0,0.0,0.0,86.0,68.0
Roda JC,Groningen,1-1,https://www.besoccer.com/match/roda-jc/fc-groningen/20103060,2010,2,eredivisie,18,34,1,1,1,10,1,0,1,0,0,0,1.0,0,0,0,0,0,18,0,0,0,1,0,2,0.0,0,0,0,0,0,0.0,0.0,72.0,74.0
NAC Breda,Heracles,0-0,https://www.besoccer.com/match/nac-breda/heracles/20103062,2010,2,eredivisie,18,34,1,0,0,7,3,1,0,0,2,1,3.0,0,0,0,0,0,4,3,1,0,0,3,2,3.0,0,0,0,0,0,0.0,0.0,74.0,64.0
Vitesse,Feyenoord,0-0,https://www.besoccer.com/match/vitesse/feyenoord/20103063,2010,2,eredivisie,18,34,1,0,0,14,0,0,0,1,1,3,0.0,0,0,0,0,0,2,3,1,0,0,2,0,3.0,0,0,0,0,0,0.0,0.0,70.0,78.0
Twente 1965,PSV,1-1,https://www.besoccer.com/match/fc-twente-1965/psv/20103064,2010,2,eredivisie,18,34,1,1,1,6,3,1,0,0,2,0,3.0,0,0,0,0,0,9,1,0,1,0,3,3,1.0,0,0,0,0,0,0.0,0.0,81.0,86.0
Utrecht,Willem II,1-0,https://www.besoccer.com/match/fc-utrecht/willem-ii/20103065,2010,2,eredivisie,18,34,0,1,0,3,3,1,0,0,1,0,3.0,0,0,0,0,0,1,3,1,0,0,3,1,3.0,0,0,0,0,0,0.0,0.0,73.0,67.0
VVV Venlo,ADO Den Haag,2-2,https://www.besoccer.com/match/vvv/ado-den-haag/20103066,2010,2,eredivisie,18,34,1,2,2,8,1,0,1,0,3,3,1.0,0,0,0,0,0,12,0,0,0,1,1,2,0.0,0,0,0,0,0,0.0,0.0,63.0,62.0
Sparta Rotterdam,Willem II,2-1,https://www.besoccer.com/match/sparta-rotterdam/willem-ii/20103067,2010,3,eredivisie,18,34,0,2,1,17,0,0,0,2,0,4,0.0,0,0,1,0,2,7,3,1,0,1,3,2,2.4000000000000004,0,0,1,0,1,0.0,0.0,65.0,67.0
ADO Den Haag,Twente 1965,0-1,https://www.besoccer.com/match/ado-den-haag/fc-twente-1965/20103068,2010,3,eredivisie,18,34,2,0,1,14,1,0,1,1,3,4,1.0,0,0,1,1,2,5,4,1,1,0,3,1,3.4000000000000004,1,0,0,2,0,0.0,3.0,62.0,81.0
RKC Waalwijk,AZ Alkmaar,0-6,https://www.besoccer.com/match/rkc-waalwijk/az/20103069,2010,3,eredivisie,18,34,2,0,6,18,0,0,0,2,1,5,0.0,0,0,1,0,1,9,3,1,0,1,4,3,3.0,0,0,1,2,3,0.0,0.0,68.0,83.0
Heerenveen,Vitesse,1-0,https://www.besoccer.com/match/heerenveen/vitesse/20103070,2010,3,eredivisie,18,34,0,1,0,13,1,0,1,1,1,4,0.8,0,1,0,0,0,15,1,0,1,1,1,3,1.0,0,0,1,1,3,1.0,0.0,79.0,71.0
PSV,Ajax,4-3,https://www.besoccer.com/match/psv/ajax/20103071,2010,3,eredivisie,18,34,0,4,3,11,2,0,2,0,4,4,1.8,0,1,0,3,3,2,6,2,0,0,6,1,5.4,1,0,0,2,0,1.0,3.0,86.0,86.0
Roda JC,NEC Nijmegen,1-0,https://www.besoccer.com/match/roda-jc/nec/20103072,2010,3,eredivisie,18,34,0,1,0,10,2,0,2,0,1,1,1.8,0,1,0,1,1,8,3,1,0,1,4,3,3.0,0,0,1,0,2,1.0,0.0,72.0,72.0
Heracles,Feyenoord,0-1,https://www.besoccer.com/match/heracles/feyenoord/20103073,2010,3,eredivisie,18,34,2,0,1,4,4,1,1,0,3,2,3.4000000000000004,1,0,0,3,2,3,4,1,1,0,2,0,3.4000000000000004,0,1,0,0,0,3.0,1.0,64.0,78.0
Utrecht,VVV Venlo,2-2,https://www.besoccer.com/match/fc-utrecht/vvv/20103074,2010,3,eredivisie,18,34,1,2,2,1,6,2,0,0,2,0,5.4,1,0,0,1,0,12,2,0,2,0,5,5,1.8,0,1,0,3,3,3.0,1.0,73.0,63.0
Groningen,NAC Breda,1-2,https://www.besoccer.com/match/fc-groningen/nac-breda/20103075,2010,3,eredivisie,18,34,2,1,2,16,1,0,1,1,1,3,1.0,0,0,1,0,2,6,4,1,1,0,2,1,3.4000000000000004,1,0,0,2,1,0.0,3.0,74.0,74.0
Vitesse,ADO Den Haag,1-3,https://www.besoccer.com/match/vitesse/ado-den-haag/20103077,2010,4,eredivisie,18,34,2,1,3,16,1,0,1,2,1,4,0.8,0,1,0,0,0,15,1,0,1,2,3,5,0.8,0,1,0,2,2,1.0,1.0,70.0,62.0
Willem II,Heracles,0-1,https://www.besoccer.com/match/willem-ii/heracles/20103079,2010,4,eredivisie,18,34,2,0,1,12,3,1,0,2,4,4,1.7999999999999998,1,0,0,3,1,9,4,1,1,1,3,3,2.5999999999999996,0,1,0,0,0,3.0,1.0,67.0,64.0
VVV Venlo,Groningen,2-2,https://www.besoccer.com/match/vvv/fc-groningen/20103080,2010,4,eredivisie,18,34,1,2,2,13,3,0,3,0,7,7,2.4,0,1,0,2,2,17,1,0,1,2,2,5,0.8,0,1,0,1,1,1.0,1.0,63.0,73.0
Twente 1965,RKC Waalwijk,2-1,https://www.besoccer.com/match/fc-twente-1965/rkc-waalwijk/20103078,2010,4,eredivisie,18,34,0,2,1,3,7,2,1,0,4,1,5.6,0,1,0,1,1,18,0,0,0,3,1,11,0.0,0,0,1,1,4,1.0,0.0,82.0,68.0
Ajax,Sparta Rotterdam,0-0,https://www.besoccer.com/match/ajax/sparta-rotterdam/20103081,2010,4,eredivisie,18,34,1,0,0,6,6,2,0,1,9,5,4.2,1,0,0,4,1,14,3,1,0,2,2,5,3.0,0,0,1,0,2,3.0,0.0,86.0,65.0
Heerenveen,AZ Alkmaar,0-2,https://www.besoccer.com/match/heerenveen/az/20103082,2010,4,eredivisie,18,34,2,0,2,10,4,1,1,1,2,4,3.6,1,1,0,1,0,5,6,2,0,1,10,3,5.4,1,0,1,8,3,3.8,3.0,79.0,83.0
PSV,NAC Breda,3-1,https://www.besoccer.com/match/psv/nac-breda/20103083,2010,4,eredivisie,18,34,0,3,1,7,5,1,2,0,8,7,4.4,1,1,0,7,6,4,7,2,1,0,4,2,5.6,2,0,0,4,2,3.8,5.4,87.0,74.0
