Season,Round,home_EOL,away_EOL,home_result
2021,24,61,70,-1
2021,24,60,45,-1
2021,24,60,57,1
2021,24,64,58,1
2021,24,50,69,-1
2021,24,45,60,1
2021,24,56,62,-1
2021,25,60,72,1
2021,25,56,45,1
2021,25,45,68,0
2021,25,64,50,1
2021,25,70,59,1
2021,25,62,54,1
2021,25,61,54,-1
2021,25,58,57,-1
2021,25,60,61,-1
2021,25,53,61,-1
2021,25,60,35,1
2021,26,68,64,-1
2021,26,54,60,-1
2021,26,61,56,0
2021,26,61,59,-1
2021,26,59,58,1
2021,26,50,61,0
2021,26,69,62,0
2021,26,57,70,0
2021,26,72,60,-1
2021,26,45,60,-1
2021,26,35,53,0
2021,27,56,72,1
2021,27,70,61,0
2021,27,53,45,0
2021,27,59,54,1
2021,27,63,36,1
2021,27,61,57,0
2021,27,60,59,1
2021,27,58,68,0
2021,27,60,50,0
2021,27,44,69,-1
2021,27,60,61,1
2021,27,64,54,-1
2021,28,69,70,1
2021,28,45,64,0
2021,28,72,53,1
2021,28,59,61,-1
2021,28,54,58,0
2021,28,61,63,-1
2021,28,56,60,1
2021,28,61,44,-1
2021,28,54,60,1
2021,28,68,57,0
2021,28,35,60,-1
2021,29,59,60,-1
2021,29,60,72,0
2021,29,53,54,-1
2021,29,61,45,1
2021,29,60,61,1
2021,29,57,37,-1
2021,29,70,67,1
2021,29,56,57,-1
2021,29,64,59,1
2021,29,63,51,-1
2021,30,60,64,-1
2021,30,67,61,1
2021,30,59,56,-1
2021,30,61,57,1
2021,30,37,59,-1
2021,30,54,61,-1
2021,30,45,70,-1
2021,30,57,53,1
2021,30,54,63,1
2021,30,69,61,1
2021,30,50,59,1
2021,30,71,45,1
2021,31,64,60,1
2021,31,45,63,1
2021,31,59,50,-1
2021,31,60,60,1
2021,31,57,69,1
2021,31,57,37,0
2021,31,71,45,1
2021,31,60,59,1
2021,31,55,71,1
2021,31,56,61,-1
2021,31,61,53,-1
2021,31,67,54,1
2021,32,53,70,-1
2021,32,60,57,1
2021,32,61,60,-1
2021,32,54,56,0
2021,32,45,60,-1
2021,32,37,56,1
2021,32,51,67,1
2021,32,63,61,1
2021,32,70,45,1
2021,32,71,60,-1
2021,32,59,64,-1
2021,32,60,54,0
2021,33,60,60,0
2021,33,71,64,1
2021,33,51,56,1
2021,33,53,54,1
2021,33,59,45,0
2021,33,63,67,1
2021,33,54,60,1
2021,33,60,60,0
2021,33,60,57,1
2021,33,45,56,-1
2021,33,70,60,-1
2021,33,37,70,-1
2019,1,89,76,1
2019,1,71,65,1
2019,1,64,70,-1
2019,1,90,68,1
2019,1,74,60,1
2019,1,64,77,1
2019,1,69,90,-1
2019,1,85,69,1
2019,1,62,66,-1
2019,2,66,64,0
2019,2,69,63,1
2019,2,66,89,-1
2019,2,90,71,1
2019,2,77,73,1
2019,2,69,68,-1
2019,2,70,90,-1
2019,2,60,85,0
2019,2,77,64,-1
2019,3,73,68,1
2019,3,63,59,0
2019,3,90,90,0
2019,3,90,77,-1
2019,3,71,70,-1
2019,3,64,66,0
2019,3,65,76,0
2019,3,85,65,1
2019,3,67,70,0
2019,4,67,85,-1
2019,4,77,65,1
2019,4,70,71,0
2019,4,60,66,1
2019,4,90,64,1
2019,4,76,63,1
2019,4,65,73,-1
2019,4,70,90,-1
2019,4,90,67,1
2019,5,66,67,-1
2019,5,60,77,-1
