Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Heracles,SC Telstar,1-0,https://www.besoccer.com/match/heracles/stormvogels-telstar/2005101530,2005,3,eerste_divisie,18,38,0,1,0,2,6,2,0,0,2,0,5.4,2,0,0,2,0,11,0,0,0,2,0,2,0.0,0,0,2,0,2,5.4,0.0,,
Helmond Sport,Sparta Rotterdam,2-2,https://www.besoccer.com/match/helmond-sport/sparta-rotterdam/2005101531,2005,3,eerste_divisie,18,38,1,2,2,9,2,0,2,0,4,4,1.8,0,2,0,4,4,10,2,0,2,0,4,4,1.8,0,2,0,4,4,1.8,1.8,,
TOP Oss,Dordrecht,5-1,https://www.besoccer.com/match/fc-oss/fc-dordrecht/2005101532,2005,3,eerste_divisie,18,38,0,5,1,7,6,2,0,0,10,2,5.4,2,0,0,10,2,17,0,0,0,2,2,10,0.0,0,0,2,2,10,5.4,0.0,,
HFC Haarlem ,MVV Maastricht,2-0,https://www.besoccer.com/match/haarlem/mvv/2005101533,2005,3,eerste_divisie,18,38,0,2,0,3,6,2,0,0,4,0,5.4,2,0,0,4,0,12,0,0,0,2,0,4,0.0,0,0,2,0,4,5.4,0.0,,
Emmen,PEC Zwolle,0-1,https://www.besoccer.com/match/emmen/fc-zwolle/2005101534,2005,3,eerste_divisie,18,38,2,0,1,18,0,0,0,2,0,2,0.0,0,0,2,0,2,1,6,2,0,0,2,0,5.4,2,0,0,2,0,0.0,5.4,,
Go Ahead Eagles,BV Veendam ,0-1,https://www.besoccer.com/match/go-ahead-eagles/veendam/2005101535,2005,3,eerste_divisie,18,38,2,0,1,13,0,0,0,2,0,2,0.0,0,0,2,0,2,5,6,2,0,0,2,0,5.4,2,0,0,2,0,0.0,5.4,,
Fortuna Sittard,AGOVV Apeldoorn,3-1,https://www.besoccer.com/match/fortuna-sittard/agovv-apeldoorn/2005101536,2005,3,eerste_divisie,18,38,0,3,1,8,6,2,0,0,6,2,5.4,2,0,0,6,2,15,0,0,0,2,2,6,0.0,0,0,2,2,6,5.4,0.0,,
FC Volendam,Cambuur,4-0,https://www.besoccer.com/match/fc-volendam/sc-cambuur-leeuwarden/2005101537,2005,3,eerste_divisie,18,38,0,4,0,4,6,2,0,0,8,0,5.4,2,0,0,8,0,16,0,0,0,2,0,8,0.0,0,0,2,0,8,5.4,0.0,,
Excelsior,FC Eindhoven,2-1,https://www.besoccer.com/match/excelsior/fc-eindhoven/2005101529,2005,4,eerste_divisie,18,38,0,2,1,6,9,3,0,0,6,3,7.2,3,0,0,6,3,14,0,0,0,3,3,6,0.0,0,0,3,3,6,7.2,0.0,,
Heracles,SC Telstar,1-0,https://www.besoccer.com/match/heracles/stormvogels-telstar/2005101530,2005,4,eerste_divisie,18,38,0,1,0,2,9,3,0,0,3,0,7.2,3,0,0,3,0,11,0,0,0,3,0,3,0.0,0,0,3,0,3,7.2,0.0,,
Helmond Sport,Sparta Rotterdam,2-2,https://www.besoccer.com/match/helmond-sport/sparta-rotterdam/2005101531,2005,4,eerste_divisie,18,38,1,2,2,10,3,0,3,0,6,6,2.4,0,3,0,6,6,9,3,0,3,0,6,6,2.4,0,3,0,6,6,2.4,2.4,,
TOP Oss,Dordrecht,5-1,https://www.besoccer.com/match/fc-oss/fc-dordrecht/2005101532,2005,4,eerste_divisie,18,38,0,5,1,7,9,3,0,0,15,3,7.2,3,0,0,15,3,17,0,0,0,3,3,15,0.0,0,0,3,3,15,7.2,0.0,,
HFC Haarlem ,MVV Maastricht,2-0,https://www.besoccer.com/match/haarlem/mvv/2005101533,2005,4,eerste_divisie,18,38,0,2,0,3,9,3,0,0,6,0,7.2,3,0,0,6,0,12,0,0,0,3,0,6,0.0,0,0,3,0,6,7.2,0.0,,
Emmen,PEC Zwolle,0-1,https://www.besoccer.com/match/emmen/fc-zwolle/2005101534,2005,4,eerste_divisie,18,38,2,0,1,18,0,0,0,3,0,3,0.0,0,0,3,0,3,1,9,3,0,0,3,0,7.2,3,0,0,3,0,0.0,7.2,,
Go Ahead Eagles,BV Veendam ,0-1,https://www.besoccer.com/match/go-ahead-eagles/veendam/2005101535,2005,4,eerste_divisie,18,38,2,0,1,13,0,0,0,3,0,3,0.0,0,0,3,0,3,5,9,3,0,0,3,0,7.2,3,0,0,3,0,0.0,7.2,,
Fortuna Sittard,AGOVV Apeldoorn,3-1,https://www.besoccer.com/match/fortuna-sittard/agovv-apeldoorn/2005101536,2005,4,eerste_divisie,18,38,0,3,1,8,9,3,0,0,9,3,7.2,3,0,0,9,3,15,0,0,0,3,3,9,0.0,0,0,3,3,9,7.2,0.0,,
FC Volendam,Cambuur,4-0,https://www.besoccer.com/match/fc-volendam/sc-cambuur-leeuwarden/2005101537,2005,4,eerste_divisie,18,38,0,4,0,4,9,3,0,0,12,0,7.2,3,0,0,12,0,16,0,0,0,3,0,12,0.0,0,0,3,0,12,7.2,0.0,,
Excelsior,FC Eindhoven,2-1,https://www.besoccer.com/match/excelsior/fc-eindhoven/2005101529,2005,5,eerste_divisie,18,38,0,2,1,6,12,4,0,0,8,4,8.4,4,0,0,8,4,14,0,0,0,4,4,8,0.0,0,0,4,4,8,8.4,0.0,,
Heracles,SC Telstar,1-0,https://www.besoccer.com/match/heracles/stormvogels-telstar/2005101530,2005,5,eerste_divisie,18,38,0,1,0,2,12,4,0,0,4,0,8.4,4,0,0,4,0,11,0,0,0,4,0,4,0.0,0,0,4,0,4,8.4,0.0,,
Helmond Sport,Sparta Rotterdam,2-2,https://www.besoccer.com/match/helmond-sport/sparta-rotterdam/2005101531,2005,5,eerste_divisie,18,38,1,2,2,9,4,0,4,0,8,8,2.8,0,4,0,8,8,10,4,0,4,0,8,8,2.8,0,4,0,8,8,2.8,2.8,,
TOP Oss,Dordrecht,5-1,https://www.besoccer.com/match/fc-oss/fc-dordrecht/2005101532,2005,5,eerste_divisie,18,38,0,5,1,7,12,4,0,0,20,4,8.4,4,0,0,20,4,17,0,0,0,4,4,20,0.0,0,0,4,4,20,8.4,0.0,,
HFC Haarlem ,MVV Maastricht,2-0,https://www.besoccer.com/match/haarlem/mvv/2005101533,2005,5,eerste_divisie,18,38,0,2,0,3,12,4,0,0,8,0,8.4,4,0,0,8,0,12,0,0,0,4,0,8,0.0,0,0,4,0,8,8.4,0.0,,
Emmen,PEC Zwolle,0-1,https://www.besoccer.com/match/emmen/fc-zwolle/2005101534,2005,5,eerste_divisie,18,38,2,0,1,18,0,0,0,4,0,4,0.0,0,0,4,0,4,1,12,4,0,0,4,0,8.4,4,0,0,4,0,0.0,8.4,,
Go Ahead Eagles,BV Veendam ,0-1,https://www.besoccer.com/match/go-ahead-eagles/veendam/2005101535,2005,5,eerste_divisie,18,38,2,0,1,13,0,0,0,4,0,4,0.0,0,0,4,0,4,5,12,4,0,0,4,0,8.4,4,0,0,4,0,0.0,8.4,,
Fortuna Sittard,AGOVV Apeldoorn,3-1,https://www.besoccer.com/match/fortuna-sittard/agovv-apeldoorn/2005101536,2005,5,eerste_divisie,18,38,0,3,1,8,12,4,0,0,12,4,8.4,4,0,0,12,4,15,0,0,0,4,4,12,0.0,0,0,4,4,12,8.4,0.0,,
FC Volendam,Cambuur,4-0,https://www.besoccer.com/match/fc-volendam/sc-cambuur-leeuwarden/2005101537,2005,5,eerste_divisie,18,38,0,4,0,4,12,4,0,0,16,0,8.4,4,0,0,16,0,16,0,0,0,4,0,16,0.0,0,0,4,0,16,8.4,0.0,,
Excelsior,FC Eindhoven,2-1,https://www.besoccer.com/match/excelsior/fc-eindhoven/2005101529,2005,6,eerste_divisie,18,38,0,2,1,6,15,5,0,0,10,5,9.0,5,0,0,10,5,14,0,0,0,5,5,10,0.0,0,0,5,5,10,9.0,0.0,,
Heracles,SC Telstar,1-0,https://www.besoccer.com/match/heracles/stormvogels-telstar/2005101530,2005,6,eerste_divisie,18,38,0,1,0,2,15,5,0,0,5,0,9.0,5,0,0,5,0,11,0,0,0,5,0,5,0.0,0,0,5,0,5,9.0,0.0,,
Helmond Sport,Sparta Rotterdam,2-2,https://www.besoccer.com/match/helmond-sport/sparta-rotterdam/2005101531,2005,6,eerste_divisie,18,38,1,2,2,10,5,0,5,0,10,10,3.0,0,5,0,10,10,9,5,0,5,0,10,10,3.0,0,5,0,10,10,3.0,3.0,,
TOP Oss,Dordrecht,5-1,https://www.besoccer.com/match/fc-oss/fc-dordrecht/2005101532,2005,6,eerste_divisie,18,38,0,5,1,7,15,5,0,0,25,5,9.0,5,0,0,25,5,17,0,0,0,5,5,25,0.0,0,0,5,5,25,9.0,0.0,,
HFC Haarlem ,MVV Maastricht,2-0,https://www.besoccer.com/match/haarlem/mvv/2005101533,2005,6,eerste_divisie,18,38,0,2,0,3,15,5,0,0,10,0,9.0,5,0,0,10,0,12,0,0,0,5,0,10,0.0,0,0,5,0,10,9.0,0.0,,
Emmen,PEC Zwolle,0-1,https://www.besoccer.com/match/emmen/fc-zwolle/2005101534,2005,6,eerste_divisie,18,38,2,0,1,18,0,0,0,5,0,5,0.0,0,0,5,0,5,1,15,5,0,0,5,0,9.0,5,0,0,5,0,0.0,9.0,,
Go Ahead Eagles,BV Veendam ,0-1,https://www.besoccer.com/match/go-ahead-eagles/veendam/2005101535,2005,6,eerste_divisie,18,38,2,0,1,13,0,0,0,5,0,5,0.0,0,0,5,0,5,5,15,5,0,0,5,0,9.0,5,0,0,5,0,0.0,9.0,,
Fortuna Sittard,AGOVV Apeldoorn,3-1,https://www.besoccer.com/match/fortuna-sittard/agovv-apeldoorn/2005101536,2005,6,eerste_divisie,18,38,0,3,1,8,15,5,0,0,15,5,9.0,5,0,0,15,5,15,0,0,0,5,5,15,0.0,0,0,5,5,15,9.0,0.0,,
FC Volendam,Cambuur,4-0,https://www.besoccer.com/match/fc-volendam/sc-cambuur-leeuwarden/2005101537,2005,6,eerste_divisie,18,38,0,4,0,4,15,5,0,0,20,0,9.0,5,0,0,20,0,16,0,0,0,5,0,20,0.0,0,0,5,0,20,9.0,0.0,,
Excelsior,FC Eindhoven,2-1,https://www.besoccer.com/match/excelsior/fc-eindhoven/2005101529,2005,7,eerste_divisie,18,38,0,2,1,6,18,6,0,0,12,6,9.0,6,0,0,12,6,14,0,0,0,6,6,12,0.0,0,0,6,6,12,9.0,0.0,,
Heracles,SC Telstar,1-0,https://www.besoccer.com/match/heracles/stormvogels-telstar/2005101530,2005,7,eerste_divisie,18,38,0,1,0,2,18,6,0,0,6,0,9.0,6,0,0,6,0,11,0,0,0,6,0,6,0.0,0,0,6,0,6,9.0,0.0,,
