Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
PEC Zwolle,FC Volendam,1-1,https://www.besoccer.com/match/fc-zwolle/fc-volendam/2006103941,2006,1,eerste_divisie,20,38,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Cambuur,Excelsior,0-1,https://www.besoccer.com/match/sc-cambuur-leeuwarden/excelsior/2006103942,2006,1,eerste_divisie,20,38,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Helmond Sport,FC Eindhoven,3-1,https://www.besoccer.com/match/helmond-sport/fc-eindhoven/2006103943,2006,1,eerste_divisie,20,38,0,3,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Fortuna Sittard,Go Ahead Eagles,3-2,https://www.besoccer.com/match/fortuna-sittard/go-ahead-eagles/2006103944,2006,1,eerste_divisie,20,38,0,3,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
TOP Oss,Dordrecht,1-2,https://www.besoccer.com/match/fc-oss/fc-dordrecht/2006103945,2006,1,eerste_divisie,20,38,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
MVV Maastricht,AGOVV Apeldoorn,2-2,https://www.besoccer.com/match/mvv/agovv-apeldoorn/2006103946,2006,1,eerste_divisie,20,38,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Emmen,Den Bosch,3-1,https://www.besoccer.com/match/emmen/fc-den-bosch/2006103947,2006,1,eerste_divisie,20,38,0,3,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
VVV Venlo,SC Telstar,1-0,https://www.besoccer.com/match/vvv/stormvogels-telstar/2006103948,2006,1,eerste_divisie,20,38,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
HFC Haarlem ,De Graafschap,3-0,https://www.besoccer.com/match/haarlem/graafschap/2006103949,2006,1,eerste_divisie,20,38,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
FC Omniworld,BV Veendam ,1-2,https://www.besoccer.com/match/omniworld/veendam/2006103950,2006,1,eerste_divisie,20,38,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
