Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Hoffenheim,Energie Cottbus,2-0,https://www.besoccer.com/match/tsg-1899-hoffenheim/energie-cottbus/20099143,2009,18,bundesliga,18,34,0,2,0,1,35,11,2,4,42,23,4.6,7,2,0,21,6,16,13,3,4,10,12,29,3.4,2,3,4,7,14,7.0,3.6000000000000005,62.0,71.0
B. Dortmund,B. Leverkusen,1-1,https://www.besoccer.com/match/borussia-dortmund/bayer-leverkusen/20099144,2009,18,bundesliga,18,34,1,1,1,6,29,7,8,2,27,19,6.2,3,6,0,16,8,5,32,10,2,5,36,21,4.0,5,1,2,18,11,6.2,5.4,80.0,84.0
Stuttgart,B. Mönchengladbach,2-0,https://www.besoccer.com/match/stuttgart/borussia-monchengla/20099146,2009,18,bundesliga,18,34,0,2,0,10,25,7,4,6,26,23,5.4,5,2,2,16,9,17,11,3,2,12,18,35,0.2,1,1,6,7,17,4.6000000000000005,1.9999999999999998,83.0,71.0
Köln,Wolfsburg,1-1,https://www.besoccer.com/match/1-fc-koln/wolfsburg/20099148,2009,18,bundesliga,18,34,1,1,1,11,22,7,1,9,19,25,3.0,3,1,4,7,11,9,26,7,5,5,35,25,4.200000000000001,0,4,5,12,19,2.4,0.8,73.0,81.0
Hertha BSC,Eintracht Frankfurt,2-1,https://www.besoccer.com/match/hertha-bsc/eintracht-frankfurt/20099150,2009,18,bundesliga,18,34,0,2,1,3,33,10,3,4,27,20,6.6,6,2,1,17,7,12,19,5,4,8,23,29,3.6000000000000005,2,2,5,9,19,9.0,1.8000000000000003,80.0,76.0
Hannover 96,Schalke 04,1-0,https://www.besoccer.com/match/hannover-96/schalke-04/20099151,2009,18,bundesliga,18,34,0,1,0,13,17,4,5,8,20,32,3.0,4,4,1,17,11,7,27,7,6,4,24,16,4.6000000000000005,2,4,3,12,11,5.4,2.8000000000000003,75.0,87.0
VfL Bochum,Karlsruher SC,2-0,https://www.besoccer.com/match/bochum/karlsruher-sc/20099147,2009,18,bundesliga,18,34,0,2,0,18,11,1,8,8,19,30,0.8,1,4,4,13,16,15,13,4,1,12,15,32,2.4000000000000004,1,0,8,8,21,1.2000000000000002,0.0,74.0,67.0
Werder Bremen,Arminia Bielefeld,1-2,https://www.besoccer.com/match/werder-bremen/arminia-bielefeld/20099149,2009,18,bundesliga,18,34,2,1,2,8,26,7,5,5,39,28,5.4,6,2,1,27,13,14,14,2,8,7,15,27,3.2,0,5,4,5,15,8.4,1.8,87.0,72.0
Arminia Bielefeld,Hertha BSC,1-1,https://www.besoccer.com/match/arminia-bielefeld/hertha-bsc/20099159,2009,19,bundesliga,18,34,1,1,1,14,17,3,8,7,17,28,5.0,2,3,3,10,12,2,36,11,3,4,29,21,7.200000000000001,4,1,3,10,13,3.8000000000000003,3.4000000000000004,73.0,80.0
Schalke 04,Werder Bremen,1-0,https://www.besoccer.com/match/schalke-04/werder-bremen/20099154,2009,19,bundesliga,18,34,0,1,0,9,27,7,6,5,24,17,3.2,5,2,1,12,5,10,26,7,5,6,40,30,3.6000000000000005,1,3,4,12,15,6.0,1.0,87.0,87.0
