Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Olhanense,Académica,1-2,https://www.besoccer.com/match/sc-olhanense/academica/2017100739,2017,1,segunda_liga,22,42,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,53.0,59.0
Academico Viseu,Vizela,0-1,https://www.besoccer.com/match/academico-viseu/vizela/2017100738,2017,1,segunda_liga,22,42,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,44.0,50.0
Sporting CP II,Portimonense,1-2,https://www.besoccer.com/match/sporting-cp-ii/portimonense/2017100742,2017,1,segunda_liga,22,42,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,54.0,56.0
CD Santa Clara,Vitória Guimarães B,2-1,https://www.besoccer.com/match/santa-clara/vitoria-guimar/2017100732,2017,1,segunda_liga,22,42,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,50.0,49.0
Sporting Braga II,Fafe,1-1,https://www.besoccer.com/match/sporting-braga-ii/fafe/2017100735,2017,1,segunda_liga,22,42,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,49.0,51.0
SC Freamunde,União Madeira,0-1,https://www.besoccer.com/match/sc-freamunde/uniao-madeira/2017100736,2017,1,segunda_liga,22,42,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,51.0,56.0
Penafiel,SP. Covilhã,1-0,https://www.besoccer.com/match/penafiel/sporting-covilha/2017100740,2017,1,segunda_liga,22,42,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,51.0
Leixões,Famalicão,0-0,https://www.besoccer.com/match/leixoes/famalicao/2017100741,2017,1,segunda_liga,22,42,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,52.0,52.0
Benfica II,Cova Piedade,1-1,https://www.besoccer.com/match/benfica-ii/cova-piedade/2017100734,2017,1,segunda_liga,22,42,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,53.0,46.0
Gil Vicente,Varzim,1-0,https://www.besoccer.com/match/gil-vicente/varzim/2017100737,2017,1,segunda_liga,22,42,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,56.0,53.0
Desportivo Aves,Porto II,2-1,https://www.besoccer.com/match/desportivo-aves/porto-ii/2017100733,2017,1,segunda_liga,22,42,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,54.0
Olhanense,Académica,1-2,https://www.besoccer.com/match/sc-olhanense/academica/2017100739,2017,2,segunda_liga,22,42,2,1,2,21,0,0,0,1,1,2,0.0,0,0,1,1,2,8,3,1,0,0,2,1,3.0,1,0,0,2,1,0.0,3.0,53.0,59.0
Academico Viseu,Vizela,0-1,https://www.besoccer.com/match/academico-viseu/vizela/2017100738,2017,2,segunda_liga,22,42,2,0,1,20,0,0,0,1,0,1,0.0,0,0,1,0,1,6,3,1,0,0,1,0,3.0,1,0,0,1,0,0.0,3.0,44.0,50.0
Sporting CP II,Portimonense,1-2,https://www.besoccer.com/match/sporting-cp-ii/portimonense/2017100742,2017,2,segunda_liga,22,42,2,1,2,18,0,0,0,1,1,2,0.0,0,0,1,1,2,3,3,1,0,0,2,1,3.0,1,0,0,2,1,0.0,3.0,54.0,56.0
CD Santa Clara,Vitória Guimarães B,2-1,https://www.besoccer.com/match/santa-clara/vitoria-guimar/2017100732,2017,2,segunda_liga,22,42,0,2,1,7,3,1,0,0,2,1,3.0,1,0,0,2,1,16,0,0,0,1,1,2,0.0,0,0,1,1,2,3.0,0.0,50.0,49.0
Sporting Braga II,Fafe,1-1,https://www.besoccer.com/match/sporting-braga-ii/fafe/2017100735,2017,2,segunda_liga,22,42,1,1,1,9,1,0,1,0,1,1,1.0,0,1,0,1,1,12,1,0,1,0,1,1,1.0,0,1,0,1,1,1.0,1.0,49.0,51.0
SC Freamunde,União Madeira,0-1,https://www.besoccer.com/match/sc-freamunde/uniao-madeira/2017100736,2017,2,segunda_liga,22,42,2,0,1,17,0,0,0,1,0,1,0.0,0,0,1,0,1,4,3,1,0,0,1,0,3.0,1,0,0,1,0,0.0,3.0,51.0,56.0
Penafiel,SP. Covilhã,1-0,https://www.besoccer.com/match/penafiel/sporting-covilha/2017100740,2017,2,segunda_liga,22,42,0,1,0,5,3,1,0,0,1,0,3.0,1,0,0,1,0,22,0,0,0,1,0,1,0.0,0,0,1,0,1,3.0,0.0,55.0,51.0
Leixões,Famalicão,0-0,https://www.besoccer.com/match/leixoes/famalicao/2017100741,2017,2,segunda_liga,22,42,1,0,0,10,1,0,1,0,0,0,1.0,0,1,0,0,0,11,1,0,1,0,0,0,1.0,0,1,0,0,0,1.0,1.0,52.0,52.0
Benfica II,Cova Piedade,1-1,https://www.besoccer.com/match/benfica-ii/cova-piedade/2017100734,2017,2,segunda_liga,22,42,1,1,1,13,1,0,1,0,1,1,1.0,0,1,0,1,1,14,1,0,1,0,1,1,1.0,0,1,0,1,1,1.0,1.0,53.0,46.0
Gil Vicente,Varzim,1-0,https://www.besoccer.com/match/gil-vicente/varzim/2017100737,2017,2,segunda_liga,22,42,0,1,0,1,3,1,0,0,1,0,3.0,1,0,0,1,0,19,0,0,0,1,0,1,0.0,0,0,1,0,1,3.0,0.0,56.0,53.0
Desportivo Aves,Porto II,2-1,https://www.besoccer.com/match/desportivo-aves/porto-ii/2017100733,2017,2,segunda_liga,22,42,0,2,1,2,3,1,0,0,2,1,3.0,1,0,0,2,1,15,0,0,0,1,1,2,0.0,0,0,1,1,2,3.0,0.0,55.0,54.0
Olhanense,Académica,1-2,https://www.besoccer.com/match/sc-olhanense/academica/2017100739,2017,3,segunda_liga,22,42,2,1,2,21,0,0,0,2,2,4,0.0,0,0,2,2,4,8,6,2,0,0,4,2,5.4,2,0,0,4,2,0.0,5.4,53.0,59.0
Academico Viseu,Vizela,0-1,https://www.besoccer.com/match/academico-viseu/vizela/2017100738,2017,3,segunda_liga,22,42,2,0,1,20,0,0,0,2,0,2,0.0,0,0,2,0,2,6,6,2,0,0,2,0,5.4,2,0,0,2,0,0.0,5.4,44.0,50.0
Sporting CP II,Portimonense,1-2,https://www.besoccer.com/match/sporting-cp-ii/portimonense/2017100742,2017,3,segunda_liga,22,42,2,1,2,18,0,0,0,2,2,4,0.0,0,0,2,2,4,3,6,2,0,0,4,2,5.4,2,0,0,4,2,0.0,5.4,54.0,56.0
CD Santa Clara,Vitória Guimarães B,2-1,https://www.besoccer.com/match/santa-clara/vitoria-guimar/2017100732,2017,3,segunda_liga,22,42,0,2,1,7,6,2,0,0,4,2,5.4,2,0,0,4,2,16,0,0,0,2,2,4,0.0,0,0,2,2,4,5.4,0.0,50.0,49.0
Sporting Braga II,Fafe,1-1,https://www.besoccer.com/match/sporting-braga-ii/fafe/2017100735,2017,3,segunda_liga,22,42,1,1,1,14,2,0,2,0,2,2,1.8,0,2,0,2,2,11,2,0,2,0,2,2,1.8,0,2,0,2,2,1.8,1.8,49.0,51.0
