Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
SC Freamunde,Imortal,5-0,https://www.besoccer.com/match/sc-freamunde/imortal/20007793,2000,1,segunda_liga,18,34,0,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,52.0,52.0
SP. Covilhã,Varzim,0-1,https://www.besoccer.com/match/sporting-covilha/varzim/20007794,2000,1,segunda_liga,18,34,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,52.0,56.0
FC Felgueiras,Penafiel,0-2,https://www.besoccer.com/match/fc-felgueiras/penafiel/20007795,2000,1,segunda_liga,18,34,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,57.0,57.0
Desportivo Aves,Beira Mar SC,1-0,https://www.besoccer.com/match/desportivo-aves/beira-mar/20007796,2000,1,segunda_liga,18,34,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,48.0,59.0
Espinho,Moreirense,3-0,https://www.besoccer.com/match/espinho/moreirense-fc/20007797,2000,1,segunda_liga,18,34,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,52.0,48.0
Leça FC,Chaves,2-2,https://www.besoccer.com/match/leca/chaves/20007798,2000,1,segunda_liga,18,34,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,56.0
Uniao Lamas,Paços de Ferreira,4-1,https://www.besoccer.com/match/uniao-lamas/pacos-ferreira/20007799,2000,1,segunda_liga,18,34,0,4,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,47.0,56.0
FC Maia,Esposende,1-0,https://www.besoccer.com/match/fc-maia/esposende/20007800,2000,1,segunda_liga,18,34,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,49.0,50.0
Naval,Académica,1-3,https://www.besoccer.com/match/naval/academica/20007801,2000,1,segunda_liga,18,34,2,1,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,49.0,58.0
SC Freamunde,Imortal,5-0,https://www.besoccer.com/match/sc-freamunde/imortal/20007793,2000,2,segunda_liga,18,34,0,5,0,5,3,1,0,0,5,0,3.0,1,0,0,5,0,16,0,0,0,1,0,5,0.0,0,0,1,0,5,3.0,0.0,52.0,52.0
SP. Covilhã,Varzim,0-1,https://www.besoccer.com/match/sporting-covilha/varzim/20007794,2000,2,segunda_liga,18,34,2,0,1,14,0,0,0,1,0,1,0.0,0,0,1,0,1,6,3,1,0,0,1,0,3.0,1,0,0,1,0,0.0,3.0,52.0,56.0
FC Felgueiras,Penafiel,0-2,https://www.besoccer.com/match/fc-felgueiras/penafiel/20007795,2000,2,segunda_liga,18,34,2,0,2,13,0,0,0,1,0,2,0.0,0,0,1,0,2,8,3,1,0,0,2,0,3.0,1,0,0,2,0,0.0,3.0,57.0,57.0
