Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Saarbrücken,Stuttgarter Kickers,1-0,https://www.besoccer.com/match/saarbrucken/stuttgarter-kickers/19903487,1990,1,2_liga,20,38,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,56.0,59.0
SC Freiburg,Unterhaching,2-3,https://www.besoccer.com/match/sc-freiburg/unterhaching/19903488,1990,1,2_liga,20,38,2,2,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,53.0,55.0
VfL Osnabrück,Meppen,1-1,https://www.besoccer.com/match/vfl-osnabruck/meppen/19903489,1990,1,2_liga,20,38,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,52.0,53.0
RW Essen,Schalke 04,0-0,https://www.besoccer.com/match/rot-weiss-essen/schalke-04/19903490,1990,1,2_liga,20,38,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,53.0,62.0
Alemannia Aachen,MSV Duisburg,1-2,https://www.besoccer.com/match/alemannia-aachen/msv-duisburg/19903491,1990,1,2_liga,20,38,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,57.0,52.0
Hessen Kassel,Blau-Weiß 1890 Berlin,1-1,https://www.besoccer.com/match/hessen-kassel/blau-weiss-1890-berlin/19903492,1990,1,2_liga,20,38,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,51.0,56.0
Wattenscheid 09,Bayreuth SpVgg,4-1,https://www.besoccer.com/match/wattenscheid-09/bayreuth-spvgg/19903493,1990,1,2_liga,20,38,0,4,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,53.0,51.0
Fortuna Köln,Darmstadt 98,2-1,https://www.besoccer.com/match/fortuna-koln/darmstadt-98/19903494,1990,1,2_liga,20,38,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,56.0,55.0
Hertha BSC,Preußen Münster,2-0,https://www.besoccer.com/match/hertha-bsc/preuben-munster/19903495,1990,1,2_liga,20,38,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,58.0
Braunschweig,Hannover 96,1-0,https://www.besoccer.com/match/eintracht-brau-hellip/hannover-96/19903496,1990,1,2_liga,20,38,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,58.0,60.0
