Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Stuttgart,Hannover 96,2-1,https://www.besoccer.com/match/stuttgart/hannover-96/202028761,2020,1,2_liga,18,34,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,59.0,58.0
Dynamo Dresden,Nürnberg,0-1,https://www.besoccer.com/match/sg-dynamo-dresden/fc-nurnberg/202028766,2020,1,2_liga,18,34,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,52.0,55.0
Holstein Kiel,Sandhausen,1-1,https://www.besoccer.com/match/holstein-kiel/sv-sandhausen/202028763,2020,1,2_liga,18,34,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,51.0
VfL Osnabrück,Heidenheim,1-3,https://www.besoccer.com/match/vfl-osnabruck/heidenheim/202028768,2020,1,2_liga,18,34,2,1,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,53.0,58.0
Hamburger SV,Darmstadt 98,1-1,https://www.besoccer.com/match/hamburger-sv/darmstadt-98/202028762,2020,1,2_liga,18,34,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,65.0,62.0
Jahn Regensburg,VfL Bochum,3-1,https://www.besoccer.com/match/ssv-jahn-regensburg/bochum/202028765,2020,1,2_liga,18,34,0,3,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,45.0,57.0
Greuther Fürth,Erzgebirge Aue,0-2,https://www.besoccer.com/match/greuther-furth/fc-erzgebirge-aue/202028767,2020,1,2_liga,18,34,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,54.0,53.0
Wehen Wiesbaden,Karlsruher SC,1-2,https://www.besoccer.com/match/wehen-wiesbaden/karlsruher-sc/202028769,2020,1,2_liga,18,34,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,49.0,55.0
Arminia Bielefeld,FC St. Pauli,1-1,https://www.besoccer.com/match/arminia-bielefeld/st-pauli/202028764,2020,1,2_liga,18,34,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,58.0,56.0
VfL Bochum,Arminia Bielefeld,3-3,https://www.besoccer.com/match/bochum/arminia-bielefeld/202029086,2020,2,2_liga,18,34,1,3,3,15,0,0,0,1,1,3,0.0,0,0,0,0,0,10,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,59.0,59.0
Sandhausen,VfL Osnabrück,0-1,https://www.besoccer.com/match/sv-sandhausen/vfl-osnabruck/202029092,2020,2,2_liga,18,34,2,0,1,8,1,0,1,0,1,1,1.0,0,0,0,0,0,17,0,0,0,1,1,3,0.0,0,0,0,0,0,0.0,0.0,50.0,53.0
FC St. Pauli,Greuther Fürth,1-3,https://www.besoccer.com/match/st-pauli/greuther-furth/202029093,2020,2,2_liga,18,34,2,1,3,12,1,0,1,0,1,1,1.0,0,0,0,0,0,16,0,0,0,1,0,2,0.0,0,0,0,0,0,0.0,0.0,55.0,54.0
Karlsruher SC,Dynamo Dresden,4-2,https://www.besoccer.com/match/karlsruher-sc/sg-dynamo-dresden/202029090,2020,2,2_liga,18,34,0,4,2,3,3,1,0,0,2,1,3.0,0,0,0,0,0,18,0,0,0,1,0,1,0.0,0,0,0,0,0,0.0,0.0,54.0,52.0
Hannover 96,Jahn Regensburg,1-1,https://www.besoccer.com/match/hannover-96/ssv-jahn-regensburg/202029088,2020,2,2_liga,18,34,1,1,1,14,0,0,0,1,1,2,0.0,0,0,0,0,0,1,3,1,0,0,3,1,3.0,0,0,0,0,0,0.0,0.0,58.0,45.0
Heidenheim,Stuttgart,2-2,https://www.besoccer.com/match/heidenheim/stuttgart/202029089,2020,2,2_liga,18,34,1,2,2,4,3,1,0,0,3,1,3.0,0,0,0,0,0,2,3,1,0,0,2,1,3.0,0,0,0,0,0,0.0,0.0,57.0,59.0
Erzgebirge Aue,Wehen Wiesbaden,3-2,https://www.besoccer.com/match/fc-erzgebirge-aue/wehen-wiesbaden/202029085,2020,2,2_liga,18,34,0,3,2,6,3,1,0,0,2,0,3.0,0,0,0,0,0,13,0,0,0,1,1,2,0.0,0,0,0,0,0,0.0,0.0,53.0,50.0
Darmstadt 98,Holstein Kiel,2-0,https://www.besoccer.com/match/darmstadt-98/holstein-kiel/202029087,2020,2,2_liga,18,34,0,2,0,11,1,0,1,0,1,1,1.0,0,0,0,0,0,9,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,61.0,55.0
Nürnberg,Hamburger SV,0-4,https://www.besoccer.com/match/fc-nurnberg/hamburger-sv/202029091,2020,2,2_liga,18,34,2,0,4,5,3,1,0,0,1,0,3.0,0,0,0,0,0,7,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,54.0,64.0
Hamburger SV,VfL Bochum,1-0,https://www.besoccer.com/match/hamburger-sv/bochum/202029096,2020,3,2_liga,18,34,0,1,0,6,4,1,1,0,5,1,3.8,0,1,0,1,1,14,1,0,1,1,4,6,1.0,0,0,1,1,3,1.0,0.0,64.0,57.0
