Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Schalke 04,Saarbrücken,3-1,https://www.besoccer.com/match/schalke-04/saarbrucken/19913769,1991,1,2_liga,20,38,0,3,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,62.0,58.0
MSV Duisburg,Braunschweig,3-3,https://www.besoccer.com/match/msv-duisburg/eintracht-brau-hellip/19913770,1991,1,2_liga,20,38,1,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,54.0,59.0
Hannover 96,SC Freiburg,0-2,https://www.besoccer.com/match/hannover-96/sc-freiburg/19913771,1991,1,2_liga,20,38,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,60.0,54.0
Schweinfurt,VfL Osnabrück,0-3,https://www.besoccer.com/match/schweinfurt/vfl-osnabruck/19913772,1991,1,2_liga,20,38,2,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,42.0,54.0
Waldhof Mannheim,Blau-Weiß 1890 Berlin,2-0,https://www.besoccer.com/match/waldhof-mannheim/blau-weiss-1890-berlin/19913773,1991,1,2_liga,20,38,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,66.0,55.0
FC 08 Homburg,RW Essen,2-1,https://www.besoccer.com/match/homburg/rot-weiss-essen/19913774,1991,1,2_liga,20,38,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,60.0,54.0
VfB Oldenburg,Mainz 05,1-2,https://www.besoccer.com/match/vfb-oldenburg/mainz-amat/19913775,1991,1,2_liga,20,38,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,44.0,42.0
Stuttgarter Kickers,Darmstadt 98,3-0,https://www.besoccer.com/match/stuttgarter-kickers/darmstadt-98/19913776,1991,1,2_liga,20,38,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,60.0,55.0
Preußen Münster,Fortuna Köln,2-0,https://www.besoccer.com/match/preuben-munster/fortuna-koln/19913777,1991,1,2_liga,20,38,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,57.0,56.0
Meppen,Havelse,2-0,https://www.besoccer.com/match/meppen/havelse/19913778,1991,1,2_liga,20,38,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,53.0,55.0
