Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Waldhof Mannheim,Fortuna Köln,1-1,https://www.besoccer.com/match/waldhof-mannheim/fortuna-koln/19947088,1994,1,2_liga,20,38,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,60.0,52.0
Tennis Borussia,Mainz 05,0-1,https://www.besoccer.com/match/tennis-borussia/mainz-amat/19947089,1994,1,2_liga,20,38,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,53.0,46.0
Hansa Rostock,1860 München,4-0,https://www.besoccer.com/match/hansa-rostock/1860-munchen/19947090,1994,1,2_liga,20,38,0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,57.0,55.0
FC 08 Homburg,FC St. Pauli,2-1,https://www.besoccer.com/match/homburg/st-pauli/19947091,1994,1,2_liga,20,38,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,56.0
FC Carl Zeiss Jena,Hertha BSC,1-1,https://www.besoccer.com/match/fc-carl-zeiss-jena/hertha-bsc/19947092,1994,1,2_liga,20,38,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,60.0,55.0
Wolfsburg,KFC Uerdingen 05,3-0,https://www.besoccer.com/match/wolfsburg/kfc-uerdingen-05/19947093,1994,1,2_liga,20,38,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,42.0,60.0
Stuttgarter Kickers,Hannover 96,0-0,https://www.besoccer.com/match/stuttgarter-kickers/hannover-96/19947094,1994,1,2_liga,20,38,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,59.0,58.0
Meppen,VfL Bochum,0-1,https://www.besoccer.com/match/meppen/bochum/19947095,1994,1,2_liga,20,38,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,51.0,64.0
Chemnitzer,Wuppertaler SV,0-0,https://www.besoccer.com/match/chemnitzer/wuppertaler-sv/19947096,1994,1,2_liga,20,38,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,54.0
RW Essen,Saarbrücken,3-1,https://www.besoccer.com/match/rot-weiss-essen/saarbrucken/19947097,1994,1,2_liga,20,38,0,3,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,53.0,56.0
