Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Hamburger SV,Fortuna Düsseldorf,2-1,https://www.besoccer.com/match/hamburger-sv/fortuna-dusseldorf/202148935,2021,1,2_liga,18,28,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,62.0,59.0
Jahn Regensburg,Nürnberg,1-1,https://www.besoccer.com/match/ssv-jahn-regensburg/fc-nurnberg/202148936,2021,1,2_liga,18,28,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,49.0,60.0
Hannover 96,Karlsruher SC,2-0,https://www.besoccer.com/match/hannover-96/karlsruher-sc/202148938,2021,1,2_liga,18,28,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,55.0,55.0
Sandhausen,Darmstadt 98,3-2,https://www.besoccer.com/match/sv-sandhausen/darmstadt-98/202148941,2021,1,2_liga,18,28,0,3,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,52.0,59.0
Würzburger Kickers,Erzgebirge Aue,0-3,https://www.besoccer.com/match/wurzburger-kickers/fc-erzgebirge-aue/202148943,2021,1,2_liga,18,28,2,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,52.0,54.0
Heidenheim,Braunschweig,2-0,https://www.besoccer.com/match/heidenheim/eintracht-brau-hellip/202148937,2021,1,2_liga,18,28,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,63.0,54.0
Greuther Fürth,VfL Osnabrück,1-1,https://www.besoccer.com/match/greuther-furth/vfl-osnabruck/202148940,2021,1,2_liga,18,28,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,54.0,50.0
Holstein Kiel,Paderborn,1-0,https://www.besoccer.com/match/holstein-kiel/paderborn/202148942,2021,1,2_liga,18,28,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,53.0,50.0
VfL Bochum,FC St. Pauli,2-2,https://www.besoccer.com/match/bochum/st-pauli/202148939,2021,1,2_liga,18,28,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,58.0,55.0
VfL Osnabrück,Hannover 96,2-1,https://www.besoccer.com/match/vfl-osnabruck/hannover-96/202148961,2021,2,2_liga,18,28,0,2,1,12,1,0,1,0,1,1,1.0,0,0,0,0,0,6,3,1,0,0,2,0,3.0,0,0,0,0,0,0.0,0.0,50.0,55.0
Erzgebirge Aue,Greuther Fürth,1-1,https://www.besoccer.com/match/fc-erzgebirge-aue/greuther-furth/202148953,2021,2,2_liga,18,28,1,1,1,2,3,1,0,0,3,0,3.0,0,0,0,0,0,11,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,55.0,53.0
Braunschweig,Holstein Kiel,0-0,https://www.besoccer.com/match/eintracht-brau-hellip/holstein-kiel/202148954,2021,2,2_liga,18,28,1,0,0,13,0,0,0,1,0,2,0.0,0,0,0,0,0,5,3,1,0,0,1,0,3.0,0,0,0,0,0,0.0,0.0,55.0,53.0
Darmstadt 98,Jahn Regensburg,0-0,https://www.besoccer.com/match/darmstadt-98/ssv-jahn-regensburg/202148955,2021,2,2_liga,18,28,1,0,0,14,0,0,0,1,2,3,0.0,0,0,0,0,0,7,1,0,1,0,1,1,1.0,0,0,0,0,0,0.0,0.0,59.0,48.0
Fortuna Düsseldorf,Würzburger Kickers,1-0,https://www.besoccer.com/match/fortuna-dusseldorf/wurzburger-kickers/202148956,2021,2,2_liga,18,28,0,1,0,16,0,0,0,1,1,2,0.0,0,0,0,0,0,15,0,0,0,1,0,3,0.0,0,0,0,0,0,0.0,0.0,59.0,52.0
Karlsruher SC,VfL Bochum,0-1,https://www.besoccer.com/match/karlsruher-sc/bochum/202148957,2021,2,2_liga,18,28,2,0,1,17,0,0,0,1,0,2,0.0,0,0,0,0,0,9,1,0,1,0,2,2,1.0,0,0,0,0,0,0.0,0.0,56.0,59.0
Nürnberg,Sandhausen,1-0,https://www.besoccer.com/match/fc-nurnberg/sv-sandhausen/202148958,2021,2,2_liga,18,28,0,1,0,10,1,0,1,0,1,1,1.0,0,0,0,0,0,4,3,1,0,0,3,2,3.0,0,0,0,0,0,0.0,0.0,61.0,52.0
FC St. Pauli,Heidenheim,4-2,https://www.besoccer.com/match/st-pauli/heidenheim/202148960,2021,2,2_liga,18,28,0,4,2,8,1,0,1,0,2,2,1.0,0,0,0,0,0,1,3,1,0,0,2,0,3.0,0,0,0,0,0,0.0,0.0,54.0,61.0
Paderborn,Hamburger SV,3-4,https://www.besoccer.com/match/paderborn/hamburger-sv/202148959,2021,2,2_liga,18,28,2,3,4,18,0,0,0,1,0,1,0.0,0,0,0,0,0,3,3,1,0,0,2,1,3.0,0,0,0,0,0,0.0,0.0,50.0,62.0
VfL Bochum,VfL Osnabrück,0-0,https://www.besoccer.com/match/bochum/vfl-osnabruck/202148962,2021,3,2_liga,18,28,1,0,0,3,4,1,1,0,3,2,3.8,0,1,0,2,2,5,4,1,1,0,3,2,3.8,0,1,0,1,1,1.0,1.0,59.0,51.0
Sandhausen,FC St. Pauli,1-0,https://www.besoccer.com/match/sv-sandhausen/st-pauli/202148969,2021,3,2_liga,18,28,0,1,0,11,3,1,0,1,3,3,2.4000000000000004,1,0,0,3,2,7,4,1,1,0,6,4,3.8,0,1,0,2,2,3.0,1.0,52.0,54.0
Hannover 96,Braunschweig,4-1,https://www.besoccer.com/match/hannover-96/eintracht-brau-hellip/202148964,2021,3,2_liga,18,28,0,4,1,10,3,1,0,1,3,2,2.4000000000000004,1,0,0,2,0,14,1,0,1,1,0,2,1.0,0,0,1,0,2,3.0,0.0,55.0,54.0
Heidenheim,Paderborn,0-0,https://www.besoccer.com/match/heidenheim/paderborn/202148965,2021,3,2_liga,18,28,1,0,0,9,3,1,0,1,4,4,2.4000000000000004,1,0,0,2,0,18,0,0,0,2,3,5,0.0,0,0,1,0,1,3.0,0.0,61.0,50.0
Jahn Regensburg,Karlsruher SC,1-0,https://www.besoccer.com/match/ssv-jahn-regensburg/karlsruher-sc/202148968,2021,3,2_liga,18,28,0,1,0,12,2,0,2,0,1,1,1.8,0,1,0,1,1,17,0,0,0,2,0,3,0.0,0,0,1,0,2,1.0,0.0,48.0,56.0
Holstein Kiel,Fortuna Düsseldorf,2-1,https://www.besoccer.com/match/holstein-kiel/fortuna-dusseldorf/202148966,2021,3,2_liga,18,28,0,2,1,4,4,1,1,0,1,0,3.4000000000000004,1,0,0,1,0,8,3,1,0,1,2,2,3.0,0,0,1,1,2,3.0,0.0,53.0,59.0
Würzburger Kickers,Greuther Fürth,2-2,https://www.besoccer.com/match/wurzburger-kickers/greuther-furth/202148970,2021,3,2_liga,18,28,1,2,2,16,0,0,0,2,0,4,0.0,0,0,1,0,3,13,2,0,2,0,2,2,1.8,0,1,0,1,1,0.0,1.0,52.0,55.0
Nürnberg,Darmstadt 98,2-3,https://www.besoccer.com/match/fc-nurnberg/darmstadt-98/202148967,2021,3,2_liga,18,28,2,2,3,2,4,1,1,0,2,1,3.8,1,0,0,1,0,15,1,0,1,1,2,3,1.0,0,0,1,2,3,3.0,0.0,61.0,59.0
