,Home_Team,Away_Team,Result,Link,Season,Round,League,reduced_link,Date_New,Referee,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Categorical Result
140,Queens Park Rangers,Watford,1-1,https://www.besoccer.com/match/queens-park-rangers-fc/watford-fc/202175737,2021,12,championship,/match/queens-park-rangers-fc/watford-fc/2021,"Saturday, 21 November 2020, 16:00", Salisbury G.,1,0,2,0,Draw
141,Stoke City,Huddersfield Town,4-3,https://www.besoccer.com/match/stoke-city/huddersfield-town-fc/202175738,2021,12,championship,/match/stoke-city/huddersfield-town-fc/2021,"Saturday, 21 November 2020, 16:00", Gillett J.,2,0,1,0,Home Win
142,Swansea City,Rotherham United,1-0,https://www.besoccer.com/match/swansea-city-afc/rotherham-united/202175739,2021,12,championship,/match/swansea-city-afc/rotherham-united/2021,"Saturday, 21 November 2020, 16:00", Donohue M.,1,0,1,0,Home Win
143,Wycombe Wanderers,Brentford,0-0,https://www.besoccer.com/match/wycombe-wanderers/brentford/202175740,2021,12,championship,/match/wycombe-wanderers/brentford/2021,"Saturday, 21 November 2020, 16:00", Mason L.,4,0,2,0,Draw
144,Luton Town,Birmingham City,1-1,https://www.besoccer.com/match/luton-town-fc/birmingham-city-fc/202175743,2021,13,championship,/match/luton-town-fc/birmingham-city-fc/2021,"Tuesday, 24 November 2020, 20:00", Webb D.,1,0,1,0,Draw
145,Queens Park Rangers,Rotherham United,3-2,https://www.besoccer.com/match/queens-park-rangers-fc/rotherham-united/202175745,2021,13,championship,/match/queens-park-rangers-fc/rotherham-united/2021,"Tuesday, 24 November 2020, 20:00", Langford O.,0,0,3,0,Home Win
146,Stoke City,Norwich City,2-3,https://www.besoccer.com/match/stoke-city/norwich-city-fc/202175746,2021,13,championship,/match/stoke-city/norwich-city-fc/2021,"Tuesday, 24 November 2020, 20:00", Eltringham G.,2,0,4,1,Away Win
147,Wycombe Wanderers,Huddersfield Town,0-0,https://www.besoccer.com/match/wycombe-wanderers/huddersfield-town-fc/202175752,2021,13,championship,/match/wycombe-wanderers/huddersfield-town-fc/2021,"Tuesday, 24 November 2020, 20:00", Martin S.,0,0,1,0,Draw
148,Barnsley,Brentford,0-1,https://www.besoccer.com/match/barnsley-fc/brentford/202175742,2021,13,championship,/match/barnsley-fc/brentford/2021,"Tuesday, 24 November 2020, 20:45", Bond D.,1,0,0,0,Away Win
149,Preston North End,Blackburn Rovers,0-3,https://www.besoccer.com/match/preston-north-end/blackburn-rovers-fc/202175744,2021,13,championship,/match/preston-north-end/blackburn-rovers-fc/2021,"Tuesday, 24 November 2020, 20:45", Harrington T.,1,1,1,0,Away Win
150,AFC Bournemouth,Nottingham Forest,2-0,https://www.besoccer.com/match/afc-bournemouth/nottingham-forest-fc/202175741,2021,13,championship,/match/afc-bournemouth/nottingham-forest-fc/2021,"Tuesday, 24 November 2020, 21:00", Hooper S.,2,0,0,0,Home Win
151,Middlesbrough,Derby County,3-0,https://www.besoccer.com/match/middlesbrough-fc/derby-county-fc/202175749,2021,13,championship,/match/middlesbrough-fc/derby-county-fc/2021,"Wednesday, 25 November 2020, 20:00", Bankes P.,0,0,4,0,Home Win
152,Millwall,Reading,1-1,https://www.besoccer.com/match/millwall-fc/reading-fc/202175750,2021,13,championship,/match/millwall-fc/reading-fc/2021,"Wednesday, 25 November 2020, 20:00", Doughty L.,4,0,4,0,Draw
153,Bristol City,Watford,0-0,https://www.besoccer.com/match/bristol-city-fc/watford-fc/202175747,2021,13,championship,/match/bristol-city-fc/watford-fc/2021,"Wednesday, 25 November 2020, 20:45", Whitestone D.,0,0,0,0,Draw
154,Coventry City,Cardiff City,1-0,https://www.besoccer.com/match/coventry-city/cardiff-city-fc/202175748,2021,13,championship,/match/coventry-city/cardiff-city-fc/2021,"Wednesday, 25 November 2020, 20:45", Simpson J.,1,0,2,0,Home Win
155,Swansea City,Sheffield Wednesday,1-1,https://www.besoccer.com/match/swansea-city-afc/sheffield-wednesday-fc/202175751,2021,13,championship,/match/swansea-city-afc/sheffield-wednesday-fc/2021,"Wednesday, 25 November 2020, 20:45", Woolmer A.,4,0,0,0,Draw
156,Brentford,Queens Park Rangers,2-1,https://www.besoccer.com/match/brentford/queens-park-rangers-fc/202175755,2021,14,championship,/match/brentford/queens-park-rangers-fc/2021,"Friday, 27 November 2020, 20:45", Donohue M.,2,0,4,1,Home Win
157,Reading,Bristol City,3-1,https://www.besoccer.com/match/reading-fc/bristol-city-fc/202175761,2021,14,championship,/match/reading-fc/bristol-city-fc/2021,"Saturday, 28 November 2020, 13:30", Simpson J.,0,0,2,0,Home Win
158,Birmingham City,Millwall,0-0,https://www.besoccer.com/match/birmingham-city-fc/millwall-fc/202175753,2021,14,championship,/match/birmingham-city-fc/millwall-fc/2021,"Saturday, 28 November 2020, 16:00", Woolmer A.,2,0,1,0,Draw
159,Blackburn Rovers,Barnsley,2-1,https://www.besoccer.com/match/blackburn-rovers-fc/barnsley-fc/202175754,2021,14,championship,/match/blackburn-rovers-fc/barnsley-fc/2021,"Saturday, 28 November 2020, 16:00", Madley A.,2,0,0,0,Home Win
160,Cardiff City,Luton Town,4-0,https://www.besoccer.com/match/cardiff-city-fc/luton-town-fc/202175756,2021,14,championship,/match/cardiff-city-fc/luton-town-fc/2021,"Saturday, 28 November 2020, 16:00", Smith J.,1,0,0,0,Home Win
161,Derby County,Wycombe Wanderers,1-1,https://www.besoccer.com/match/derby-county-fc/wycombe-wanderers/202175757,2021,14,championship,/match/derby-county-fc/wycombe-wanderers/2021,"Saturday, 28 November 2020, 16:00", Simpson J.,0,0,1,0,Draw
162,Huddersfield Town,Middlesbrough,3-2,https://www.besoccer.com/match/huddersfield-town-fc/middlesbrough-fc/202175758,2021,14,championship,/match/huddersfield-town-fc/middlesbrough-fc/2021,"Saturday, 28 November 2020, 16:00", Brooks J.,4,0,3,0,Home Win
163,Norwich City,Coventry City,1-1,https://www.besoccer.com/match/norwich-city-fc/coventry-city/202175759,2021,14,championship,/match/norwich-city-fc/coventry-city/2021,"Saturday, 28 November 2020, 16:00", Stroud K.,3,0,0,0,Draw
164,Rotherham United,AFC Bournemouth,2-2,https://www.besoccer.com/match/rotherham-united/afc-bournemouth/202175762,2021,14,championship,/match/rotherham-united/afc-bournemouth/2021,"Saturday, 28 November 2020, 16:00", Eltringham G.,2,0,3,0,Draw
165,Sheffield Wednesday,Stoke City,0-0,https://www.besoccer.com/match/sheffield-wednesday-fc/stoke-city/202175763,2021,14,championship,/match/sheffield-wednesday-fc/stoke-city/2021,"Saturday, 28 November 2020, 16:00", Robinson T.,4,0,2,0,Draw
166,Watford,Preston North End,4-1,https://www.besoccer.com/match/watford-fc/preston-north-end/202175764,2021,14,championship,/match/watford-fc/preston-north-end/2021,"Saturday, 28 November 2020, 16:00", Gillett J.,1,0,0,0,Home Win
167,Nottingham Forest,Swansea City,0-1,https://www.besoccer.com/match/nottingham-forest-fc/swansea-city-afc/202175760,2021,14,championship,/match/nottingham-forest-fc/swansea-city-afc/2021,"Sunday, 29 November 2020, 13:00", Harrington T.,4,0,2,0,Away Win
168,Cardiff City,Huddersfield Town,3-0,https://www.besoccer.com/match/cardiff-city-fc/huddersfield-town-fc/202175767,2021,15,championship,/match/cardiff-city-fc/huddersfield-town-fc/2021,"Tuesday, 01 December 2020, 20:00", Friend K.,1,0,1,0,Home Win
169,AFC Bournemouth,Preston North End,2-3,https://www.besoccer.com/match/afc-bournemouth/preston-north-end/202175765,2021,15,championship,/match/afc-bournemouth/preston-north-end/2021,"Tuesday, 01 December 2020, 20:45", Ward G.,2,0,3,0,Away Win
170,Birmingham City,Barnsley,1-2,https://www.besoccer.com/match/birmingham-city-fc/barnsley-fc/202175766,2021,15,championship,/match/birmingham-city-fc/barnsley-fc/2021,"Tuesday, 01 December 2020, 20:45", Harrington T.,2,0,1,0,Away Win
171,Derby County,Coventry City,1-1,https://www.besoccer.com/match/derby-county-fc/coventry-city/202175768,2021,15,championship,/match/derby-county-fc/coventry-city/2021,"Tuesday, 01 December 2020, 20:45", Whitestone D.,4,0,1,0,Draw
172,Queens Park Rangers,Bristol City,1-2,https://www.besoccer.com/match/queens-park-rangers-fc/bristol-city-fc/202175769,2021,15,championship,/match/queens-park-rangers-fc/bristol-city-fc/2021,"Tuesday, 01 December 2020, 20:45", Linington J.,2,0,1,0,Away Win
173,Rotherham United,Brentford,0-2,https://www.besoccer.com/match/rotherham-united/brentford/202175770,2021,15,championship,/match/rotherham-united/brentford/2021,"Tuesday, 01 December 2020, 21:00", Robinson T.,5,1,0,0,Away Win
174,Middlesbrough,Swansea City,2-1,https://www.besoccer.com/match/middlesbrough-fc/swansea-city-afc/202175773,2021,15,championship,/match/middlesbrough-fc/swansea-city-afc/2021,"Wednesday, 02 December 2020, 20:00", Stroud K.,2,0,2,0,Home Win
175,Blackburn Rovers,Millwall,2-1,https://www.besoccer.com/match/blackburn-rovers-fc/millwall-fc/202175771,2021,15,championship,/match/blackburn-rovers-fc/millwall-fc/2021,"Wednesday, 02 December 2020, 20:45", Salisbury G.,0,0,2,0,Home Win
176,Luton Town,Norwich City,3-1,https://www.besoccer.com/match/luton-town-fc/norwich-city-fc/202175772,2021,15,championship,/match/luton-town-fc/norwich-city-fc/2021,"Wednesday, 02 December 2020, 20:45", England D.,1,0,2,0,Home Win
177,Nottingham Forest,Watford,0-0,https://www.besoccer.com/match/nottingham-forest-fc/watford-fc/202175774,2021,15,championship,/match/nottingham-forest-fc/watford-fc/2021,"Wednesday, 02 December 2020, 20:45", Webb D.,3,0,2,0,Draw
178,Sheffield Wednesday,Reading,1-1,https://www.besoccer.com/match/sheffield-wednesday-fc/reading-fc/202175775,2021,15,championship,/match/sheffield-wednesday-fc/reading-fc/2021,"Wednesday, 02 December 2020, 20:45", Langford O.,2,1,0,0,Draw
179,Wycombe Wanderers,Stoke City,0-1,https://www.besoccer.com/match/wycombe-wanderers/stoke-city/202175776,2021,15,championship,/match/wycombe-wanderers/stoke-city/2021,"Wednesday, 02 December 2020, 20:45", Bond D.,2,0,4,0,Away Win
180,Barnsley,AFC Bournemouth,0-4,https://www.besoccer.com/match/barnsley-fc/afc-bournemouth/202175777,2021,16,championship,/match/barnsley-fc/afc-bournemouth/2021,"Friday, 04 December 2020, 18:30", Stroud K.,3,0,0,0,Away Win
181,Reading,Nottingham Forest,2-0,https://www.besoccer.com/match/reading-fc/nottingham-forest-fc/202175785,2021,16,championship,/match/reading-fc/nottingham-forest-fc/2021,"Saturday, 05 December 2020, 13:30", Ward G.,1,0,1,1,Home Win
182,Brentford,Blackburn Rovers,2-2,https://www.besoccer.com/match/brentford/blackburn-rovers-fc/202175778,2021,16,championship,/match/brentford/blackburn-rovers-fc/2021,"Saturday, 05 December 2020, 16:00", Langford O.,3,0,6,1,Draw
183,Bristol City,Birmingham City,0-1,https://www.besoccer.com/match/bristol-city-fc/birmingham-city-fc/202175779,2021,16,championship,/match/bristol-city-fc/birmingham-city-fc/2021,"Saturday, 05 December 2020, 16:00", Brooks J.,0,0,3,0,Away Win
184,Coventry City,Rotherham United,3-1,https://www.besoccer.com/match/coventry-city/rotherham-united/202175780,2021,16,championship,/match/coventry-city/rotherham-united/2021,"Saturday, 05 December 2020, 16:00", Webb D.,0,0,3,0,Home Win
185,Huddersfield Town,Queens Park Rangers,2-0,https://www.besoccer.com/match/huddersfield-town-fc/queens-park-rangers-fc/202175781,2021,16,championship,/match/huddersfield-town-fc/queens-park-rangers-fc/2021,"Saturday, 05 December 2020, 16:00", Whitestone D.,0,0,2,0,Home Win
186,Millwall,Derby County,0-1,https://www.besoccer.com/match/millwall-fc/derby-county-fc/202175782,2021,16,championship,/match/millwall-fc/derby-county-fc/2021,"Saturday, 05 December 2020, 16:00", England D.,0,0,5,0,Away Win
187,Norwich City,Sheffield Wednesday,2-1,https://www.besoccer.com/match/norwich-city-fc/sheffield-wednesday-fc/202175783,2021,16,championship,/match/norwich-city-fc/sheffield-wednesday-fc/2021,"Saturday, 05 December 2020, 16:00", Gillett J.,1,0,2,0,Home Win
188,Preston North End,Wycombe Wanderers,2-2,https://www.besoccer.com/match/preston-north-end/wycombe-wanderers/202175784,2021,16,championship,/match/preston-north-end/wycombe-wanderers/2021,"Saturday, 05 December 2020, 16:00", Linington J.,0,0,3,0,Draw
189,Stoke City,Middlesbrough,1-0,https://www.besoccer.com/match/stoke-city/middlesbrough-fc/202175786,2021,16,championship,/match/stoke-city/middlesbrough-fc/2021,"Saturday, 05 December 2020, 16:00", Simpson J.,2,0,3,0,Home Win
190,Swansea City,Luton Town,2-0,https://www.besoccer.com/match/swansea-city-afc/luton-town-fc/202175787,2021,16,championship,/match/swansea-city-afc/luton-town-fc/2021,"Saturday, 05 December 2020, 16:00", Doughty L.,1,0,3,1,Home Win
191,Watford,Cardiff City,0-1,https://www.besoccer.com/match/watford-fc/cardiff-city-fc/202175788,2021,16,championship,/match/watford-fc/cardiff-city-fc/2021,"Saturday, 05 December 2020, 16:00", Martin S.,1,0,2,0,Away Win
192,Coventry City,Luton Town,0-0,https://www.besoccer.com/match/coventry-city/luton-town-fc/202175789,2021,17,championship,/match/coventry-city/luton-town-fc/2021,"Tuesday, 08 December 2020, 20:45", Woolmer A.,3,0,2,0,Draw
193,Huddersfield Town,Sheffield Wednesday,2-0,https://www.besoccer.com/match/huddersfield-town-fc/sheffield-wednesday-fc/202175790,2021,17,championship,/match/huddersfield-town-fc/sheffield-wednesday-fc/2021,"Tuesday, 08 December 2020, 20:45", Stroud K.,1,0,3,0,Home Win
194,Millwall,Queens Park Rangers,1-1,https://www.besoccer.com/match/millwall-fc/queens-park-rangers-fc/202175791,2021,17,championship,/match/millwall-fc/queens-park-rangers-fc/2021,"Tuesday, 08 December 2020, 20:45", Gillett J.,0,0,3,0,Draw
195,Swansea City,AFC Bournemouth,0-0,https://www.besoccer.com/match/swansea-city-afc/afc-bournemouth/202175792,2021,17,championship,/match/swansea-city-afc/afc-bournemouth/2021,"Tuesday, 08 December 2020, 20:45", Bankes P.,1,0,3,0,Draw
196,Watford,Rotherham United,2-0,https://www.besoccer.com/match/watford-fc/rotherham-united/202175793,2021,17,championship,/match/watford-fc/rotherham-united/2021,"Tuesday, 08 December 2020, 20:45", Ward G.,0,0,2,0,Home Win
197,Stoke City,Cardiff City,1-2,https://www.besoccer.com/match/stoke-city/cardiff-city-fc/202175794,2021,17,championship,/match/stoke-city/cardiff-city-fc/2021,"Tuesday, 08 December 2020, 20:45", Harrington T.,2,0,2,0,Away Win
198,Preston North End,Middlesbrough,3-0,https://www.besoccer.com/match/preston-north-end/middlesbrough-fc/202175799,2021,17,championship,/match/preston-north-end/middlesbrough-fc/2021,"Wednesday, 09 December 2020, 20:00", Madley A.,0,0,1,0,Home Win
199,Barnsley,Wycombe Wanderers,2-1,https://www.besoccer.com/match/barnsley-fc/wycombe-wanderers/202175795,2021,17,championship,/match/barnsley-fc/wycombe-wanderers/2021,"Wednesday, 09 December 2020, 20:45", Eltringham G.,3,0,3,0,Home Win
200,Brentford,Derby County,0-0,https://www.besoccer.com/match/brentford/derby-county-fc/202175796,2021,17,championship,/match/brentford/derby-county-fc/2021,"Wednesday, 09 December 2020, 20:45", Webb D.,2,0,1,0,Draw
201,Bristol City,Blackburn Rovers,1-0,https://www.besoccer.com/match/bristol-city-fc/blackburn-rovers-fc/202175797,2021,17,championship,/match/bristol-city-fc/blackburn-rovers-fc/2021,"Wednesday, 09 December 2020, 20:45", Martin S.,1,0,0,0,Home Win
202,Norwich City,Nottingham Forest,2-1,https://www.besoccer.com/match/norwich-city-fc/nottingham-forest-fc/202175798,2021,17,championship,/match/norwich-city-fc/nottingham-forest-fc/2021,"Wednesday, 09 December 2020, 20:45", Bond D.,4,0,1,0,Home Win
203,Reading,Birmingham City,1-2,https://www.besoccer.com/match/reading-fc/birmingham-city-fc/202175800,2021,17,championship,/match/reading-fc/birmingham-city-fc/2021,"Wednesday, 09 December 2020, 20:45", Robinson T.,1,0,5,1,Away Win
204,Cardiff City,Swansea City,0-2,https://www.besoccer.com/match/cardiff-city-fc/swansea-city-afc/202175804,2021,18,championship,/match/cardiff-city-fc/swansea-city-afc/2021,"Saturday, 12 December 2020, 13:30", Brooks J.,4,1,2,0,Away Win
205,AFC Bournemouth,Huddersfield Town,5-0,https://www.besoccer.com/match/afc-bournemouth/huddersfield-town-fc/202175801,2021,18,championship,/match/afc-bournemouth/huddersfield-town-fc/2021,"Saturday, 12 December 2020, 16:00", Langford O.,1,0,1,0,Home Win
206,Birmingham City,Watford,0-1,https://www.besoccer.com/match/birmingham-city-fc/watford-fc/202175802,2021,18,championship,/match/birmingham-city-fc/watford-fc/2021,"Saturday, 12 December 2020, 16:00", Donohue M.,3,1,1,0,Away Win
207,Blackburn Rovers,Norwich City,1-2,https://www.besoccer.com/match/blackburn-rovers-fc/norwich-city-fc/202175803,2021,18,championship,/match/blackburn-rovers-fc/norwich-city-fc/2021,"Saturday, 12 December 2020, 16:00", Whitestone D.,0,0,1,0,Away Win
208,Derby County,Stoke City,0-0,https://www.besoccer.com/match/derby-county-fc/stoke-city/202175805,2021,18,championship,/match/derby-county-fc/stoke-city/2021,"Saturday, 12 December 2020, 16:00", Woolmer A.,3,0,1,0,Draw
209,Luton Town,Preston North End,3-0,https://www.besoccer.com/match/luton-town-fc/preston-north-end/202175806,2021,18,championship,/match/luton-town-fc/preston-north-end/2021,"Saturday, 12 December 2020, 16:00", Simpson J.,0,0,0,0,Home Win
210,Middlesbrough,Millwall,3-0,https://www.besoccer.com/match/middlesbrough-fc/millwall-fc/202175807,2021,18,championship,/match/middlesbrough-fc/millwall-fc/2021,"Saturday, 12 December 2020, 16:00", Bond D.,1,0,1,0,Home Win
211,Nottingham Forest,Brentford,1-3,https://www.besoccer.com/match/nottingham-forest-fc/brentford/202175808,2021,18,championship,/match/nottingham-forest-fc/brentford/2021,"Saturday, 12 December 2020, 16:00", Eltringham G.,4,1,3,0,Away Win
212,Queens Park Rangers,Reading,0-1,https://www.besoccer.com/match/queens-park-rangers-fc/reading-fc/202175809,2021,18,championship,/match/queens-park-rangers-fc/reading-fc/2021,"Saturday, 12 December 2020, 16:00", Harrington T.,1,0,0,0,Away Win
213,Rotherham United,Bristol City,2-0,https://www.besoccer.com/match/rotherham-united/bristol-city-fc/202175810,2021,18,championship,/match/rotherham-united/bristol-city-fc/2021,"Saturday, 12 December 2020, 16:00", Doughty L.,2,0,1,0,Home Win
214,Sheffield Wednesday,Barnsley,1-2,https://www.besoccer.com/match/sheffield-wednesday-fc/barnsley-fc/202175811,2021,18,championship,/match/sheffield-wednesday-fc/barnsley-fc/2021,"Saturday, 12 December 2020, 16:00", Linington J.,1,0,0,0,Away Win
215,Wycombe Wanderers,Coventry City,1-2,https://www.besoccer.com/match/wycombe-wanderers/coventry-city/202175812,2021,18,championship,/match/wycombe-wanderers/coventry-city/2021,"Saturday, 12 December 2020, 16:00", Davies A.,1,0,4,0,Away Win
216,Queens Park Rangers,Stoke City,0-0,https://www.besoccer.com/match/queens-park-rangers-fc/stoke-city/202175817,2021,19,championship,/match/queens-park-rangers-fc/stoke-city/2021,"Tuesday, 15 December 2020, 18:30", Stroud K.,2,0,1,0,Draw
217,AFC Bournemouth,Wycombe Wanderers,1-0,https://www.besoccer.com/match/afc-bournemouth/wycombe-wanderers/202175813,2021,19,championship,/match/afc-bournemouth/wycombe-wanderers/2021,"Tuesday, 15 December 2020, 20:45", Donohue M.,1,0,1,1,Home Win
218,Barnsley,Preston North End,2-1,https://www.besoccer.com/match/barnsley-fc/preston-north-end/202175814,2021,19,championship,/match/barnsley-fc/preston-north-end/2021,"Tuesday, 15 December 2020, 20:45", Whitestone D.,0,0,1,0,Home Win
219,Bristol City,Millwall,0-2,https://www.besoccer.com/match/bristol-city-fc/millwall-fc/202175815,2021,19,championship,/match/bristol-city-fc/millwall-fc/2021,"Tuesday, 15 December 2020, 20:45", Webb D.,3,1,0,0,Away Win
220,Nottingham Forest,Sheffield Wednesday,2-0,https://www.besoccer.com/match/nottingham-forest-fc/sheffield-wednesday-fc/202175816,2021,19,championship,/match/nottingham-forest-fc/sheffield-wednesday-fc/2021,"Tuesday, 15 December 2020, 20:45", Martin S.,0,0,1,0,Home Win
221,Watford,Brentford,1-1,https://www.besoccer.com/match/watford-fc/brentford/202175818,2021,19,championship,/match/watford-fc/brentford/2021,"Tuesday, 15 December 2020, 21:00", Linington J.,4,0,0,1,Draw
222,Derby County,Swansea City,2-0,https://www.besoccer.com/match/derby-county-fc/swansea-city-afc/202175822,2021,19,championship,/match/derby-county-fc/swansea-city-afc/2021,"Wednesday, 16 December 2020, 18:30", Ward G.,0,0,1,0,Home Win
223,Cardiff City,Birmingham City,3-2,https://www.besoccer.com/match/cardiff-city-fc/birmingham-city-fc/202175820,2021,19,championship,/match/cardiff-city-fc/birmingham-city-fc/2021,"Wednesday, 16 December 2020, 20:00", Salisbury G.,2,0,2,0,Home Win
224,Middlesbrough,Luton Town,1-0,https://www.besoccer.com/match/middlesbrough-fc/luton-town-fc/202175823,2021,19,championship,/match/middlesbrough-fc/luton-town-fc/2021,"Wednesday, 16 December 2020, 20:00", Davies A.,1,1,1,0,Home Win
225,Blackburn Rovers,Rotherham United,2-1,https://www.besoccer.com/match/blackburn-rovers-fc/rotherham-united/202175819,2021,19,championship,/match/blackburn-rovers-fc/rotherham-united/2021,"Wednesday, 16 December 2020, 20:45", Gillett J.,2,0,3,0,Home Win
226,Coventry City,Huddersfield Town,0-0,https://www.besoccer.com/match/coventry-city/huddersfield-town-fc/202175821,2021,19,championship,/match/coventry-city/huddersfield-town-fc/2021,"Wednesday, 16 December 2020, 21:00", Robinson T.,1,0,1,0,Draw
227,Reading,Norwich City,1-2,https://www.besoccer.com/match/reading-fc/norwich-city-fc/202175824,2021,19,championship,/match/reading-fc/norwich-city-fc/2021,"Wednesday, 16 December 2020, 21:00", Eltringham G.,1,0,0,0,Away Win
228,Preston North End,Bristol City,1-0,https://www.besoccer.com/match/preston-north-end/bristol-city-fc/202175831,2021,20,championship,/match/preston-north-end/bristol-city-fc/2021,"Friday, 18 December 2020, 21:00", Eltringham G.,1,0,0,0,Home Win
229,Norwich City,Cardiff City,2-0,https://www.besoccer.com/match/norwich-city-fc/cardiff-city-fc/202175830,2021,20,championship,/match/norwich-city-fc/cardiff-city-fc/2021,"Saturday, 19 December 2020, 13:30", Robinson T.,0,0,4,0,Home Win
230,Birmingham City,Middlesbrough,1-4,https://www.besoccer.com/match/birmingham-city-fc/middlesbrough-fc/202175825,2021,20,championship,/match/birmingham-city-fc/middlesbrough-fc/2021,"Saturday, 19 December 2020, 16:00", Martin S.,0,0,0,0,Away Win
231,Brentford,Reading,3-1,https://www.besoccer.com/match/brentford/reading-fc/202175826,2021,20,championship,/match/brentford/reading-fc/2021,"Saturday, 19 December 2020, 16:00", Stroud K.,2,0,1,0,Home Win
232,Huddersfield Town,Watford,2-0,https://www.besoccer.com/match/huddersfield-town-fc/watford-fc/202175827,2021,20,championship,/match/huddersfield-town-fc/watford-fc/2021,"Saturday, 19 December 2020, 16:00", Doughty L.,2,0,2,0,Home Win
233,Luton Town,AFC Bournemouth,0-0,https://www.besoccer.com/match/luton-town-fc/afc-bournemouth/202175828,2021,20,championship,/match/luton-town-fc/afc-bournemouth/2021,"Saturday, 19 December 2020, 16:00", Whitestone D.,1,0,1,0,Draw
234,Millwall,Nottingham Forest,1-1,https://www.besoccer.com/match/millwall-fc/nottingham-forest-fc/202175829,2021,20,championship,/match/millwall-fc/nottingham-forest-fc/2021,"Saturday, 19 December 2020, 16:00", Langford O.,2,0,4,0,Draw
235,Sheffield Wednesday,Coventry City,1-0,https://www.besoccer.com/match/sheffield-wednesday-fc/coventry-city/202175833,2021,20,championship,/match/sheffield-wednesday-fc/coventry-city/2021,"Saturday, 19 December 2020, 16:00", Brooks J.,2,0,1,0,Home Win
236,Stoke City,Blackburn Rovers,1-0,https://www.besoccer.com/match/stoke-city/blackburn-rovers-fc/202175834,2021,20,championship,/match/stoke-city/blackburn-rovers-fc/2021,"Saturday, 19 December 2020, 16:00", Webb D.,1,0,0,0,Home Win
237,Swansea City,Barnsley,2-0,https://www.besoccer.com/match/swansea-city-afc/barnsley-fc/202175835,2021,20,championship,/match/swansea-city-afc/barnsley-fc/2021,"Saturday, 19 December 2020, 16:00", Davies A.,1,0,1,0,Home Win
238,Wycombe Wanderers,Queens Park Rangers,1-1,https://www.besoccer.com/match/wycombe-wanderers/queens-park-rangers-fc/202175836,2021,20,championship,/match/wycombe-wanderers/queens-park-rangers-fc/2021,"Saturday, 19 December 2020, 16:00", Ward G.,2,0,1,0,Draw
239,Rotherham United,Derby County,3-0,https://www.besoccer.com/match/rotherham-united/derby-county-fc/202175832,2021,20,championship,/match/rotherham-united/derby-county-fc/2021,"Wednesday, 03 February 2021, 20:00", Simpson J.,2,0,3,0,Home Win
240,Barnsley,Huddersfield Town,2-1,https://www.besoccer.com/match/barnsley-fc/huddersfield-town-fc/202175838,2021,21,championship,/match/barnsley-fc/huddersfield-town-fc/2021,"Saturday, 26 December 2020, 16:00", Webb D.,1,0,0,0,Home Win
241,Blackburn Rovers,Sheffield Wednesday,1-1,https://www.besoccer.com/match/blackburn-rovers-fc/sheffield-wednesday-fc/202175839,2021,21,championship,/match/blackburn-rovers-fc/sheffield-wednesday-fc/2021,"Saturday, 26 December 2020, 16:00", Harrington T.,1,0,0,0,Draw
242,Bristol City,Wycombe Wanderers,2-1,https://www.besoccer.com/match/bristol-city-fc/wycombe-wanderers/202175840,2021,21,championship,/match/bristol-city-fc/wycombe-wanderers/2021,"Saturday, 26 December 2020, 16:00", Stroud K.,0,0,2,0,Home Win
243,Cardiff City,Brentford,2-3,https://www.besoccer.com/match/cardiff-city-fc/brentford/202175841,2021,21,championship,/match/cardiff-city-fc/brentford/2021,"Saturday, 26 December 2020, 16:00", Whitestone D.,1,0,0,0,Away Win
244,Coventry City,Stoke City,0-0,https://www.besoccer.com/match/coventry-city/stoke-city/202175842,2021,21,championship,/match/coventry-city/stoke-city/2021,"Saturday, 26 December 2020, 16:00", Gillett J.,0,0,1,0,Draw
245,Derby County,Preston North End,0-1,https://www.besoccer.com/match/derby-county-fc/preston-north-end/202175843,2021,21,championship,/match/derby-county-fc/preston-north-end/2021,"Saturday, 26 December 2020, 16:00", Bond D.,0,1,1,0,Away Win
246,Nottingham Forest,Birmingham City,0-0,https://www.besoccer.com/match/nottingham-forest-fc/birmingham-city-fc/202175845,2021,21,championship,/match/nottingham-forest-fc/birmingham-city-fc/2021,"Saturday, 26 December 2020, 16:00", Simpson J.,3,0,2,0,Draw
247,Queens Park Rangers,Swansea City,0-2,https://www.besoccer.com/match/queens-park-rangers-fc/swansea-city-afc/202175846,2021,21,championship,/match/queens-park-rangers-fc/swansea-city-afc/2021,"Saturday, 26 December 2020, 16:00", Martin S.,1,0,1,0,Away Win
248,Reading,Luton Town,2-1,https://www.besoccer.com/match/reading-fc/luton-town-fc/202175847,2021,21,championship,/match/reading-fc/luton-town-fc/2021,"Saturday, 26 December 2020, 16:00", Donohue M.,1,0,2,0,Home Win
249,Watford,Norwich City,1-0,https://www.besoccer.com/match/watford-fc/norwich-city-fc/202175848,2021,21,championship,/match/watford-fc/norwich-city-fc/2021,"Saturday, 26 December 2020, 20:45", Brooks J.,4,0,0,0,Home Win
250,AFC Bournemouth,Millwall,1-1,https://www.besoccer.com/match/afc-bournemouth/millwall-fc/202175837,2021,21,championship,/match/afc-bournemouth/millwall-fc/2021,"Tuesday, 12 January 2021, 20:45", Robinson T.,1,0,2,0,Draw
