,Home_Team,Away_Team,Result,Link,Season,Round,League,reduced_link,Date_New,Referee,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Categorical Result
57,Swansea City,Huddersfield Town,1-2,https://www.besoccer.com/match/swansea-city-afc/huddersfield-town-fc/202175655,2021,5,championship,/match/swansea-city-afc/huddersfield-town-fc/2021,"Saturday, 17 October 2020, 16:00", Harrington T.,1,0,4,0,Away Win
58,Wycombe Wanderers,Millwall,1-2,https://www.besoccer.com/match/wycombe-wanderers/millwall-fc/202175656,2021,5,championship,/match/wycombe-wanderers/millwall-fc/2021,"Saturday, 17 October 2020, 16:00", Madley A.,1,0,0,0,Away Win
59,Preston North End,Cardiff City,0-1,https://www.besoccer.com/match/preston-north-end/cardiff-city-fc/202175653,2021,5,championship,/match/preston-north-end/cardiff-city-fc/2021,"Sunday, 18 October 2020, 13:00", Stroud K.,1,0,0,0,Away Win
60,Bristol City,Middlesbrough,0-1,https://www.besoccer.com/match/bristol-city-fc/middlesbrough-fc/202175657,2021,6,championship,/match/bristol-city-fc/middlesbrough-fc/2021,"Tuesday, 20 October 2020, 20:45", Robinson T.,0,0,2,0,Away Win
61,Coventry City,Swansea City,1-1,https://www.besoccer.com/match/coventry-city/swansea-city-afc/202175658,2021,6,championship,/match/coventry-city/swansea-city-afc/2021,"Tuesday, 20 October 2020, 20:45", Stroud K.,0,0,1,0,Draw
62,Millwall,Luton Town,2-0,https://www.besoccer.com/match/millwall-fc/luton-town-fc/202175659,2021,6,championship,/match/millwall-fc/luton-town-fc/2021,"Tuesday, 20 October 2020, 20:45", Harrington T.,2,0,1,0,Home Win
63,Norwich City,Birmingham City,1-0,https://www.besoccer.com/match/norwich-city-fc/birmingham-city-fc/202175660,2021,6,championship,/match/norwich-city-fc/birmingham-city-fc/2021,"Tuesday, 20 October 2020, 20:45", Langford O.,1,0,5,1,Home Win
64,Nottingham Forest,Rotherham United,1-1,https://www.besoccer.com/match/nottingham-forest-fc/rotherham-united/202175661,2021,6,championship,/match/nottingham-forest-fc/rotherham-united/2021,"Tuesday, 20 October 2020, 20:45", Martin S.,0,0,2,0,Draw
65,Huddersfield Town,Derby County,1-0,https://www.besoccer.com/match/huddersfield-town-fc/derby-county-fc/202175664,2021,6,championship,/match/huddersfield-town-fc/derby-county-fc/2021,"Tuesday, 20 October 2020, 20:45", Webb D.,1,0,3,0,Home Win
66,Reading,Wycombe Wanderers,1-0,https://www.besoccer.com/match/reading-fc/wycombe-wanderers/202175662,2021,6,championship,/match/reading-fc/wycombe-wanderers/2021,"Tuesday, 20 October 2020, 21:00", Davies A.,2,0,0,0,Home Win
